feature_name,family_id,literature_anchor,scale,raw_minmax,exposure,neighborhood,radius,scope,aggregation,source_reference,implementation_version,spec_hash
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__ALL_FV__TOP3_MEAN,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,5.0,ALL_FV,TOP3_MEAN,generic_spatial_factory_v1,HSP_v1,492f6972e7a8dde1
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__ALL_FV__TOP5_MEAN,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,5.0,ALL_FV,TOP5_MEAN,generic_spatial_factory_v1,HSP_v1,492f6972e7a8dde1
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__HEAVY__MAX,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,5.0,HEAVY,MAX,generic_spatial_factory_v1,HSP_v1,492f6972e7a8dde1
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__HEAVY__MEAN,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,5.0,HEAVY,MEAN,generic_spatial_factory_v1,HSP_v1,492f6972e7a8dde1
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__HEAVY__SUM,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,5.0,HEAVY,SUM,generic_spatial_factory_v1,HSP_v1,492f6972e7a8dde1
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__HEAVY__Q90,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,5.0,HEAVY,Q90,generic_spatial_factory_v1,HSP_v1,492f6972e7a8dde1
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__HEAVY__Q95,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,5.0,HEAVY,Q95,generic_spatial_factory_v1,HSP_v1,492f6972e7a8dde1
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__HEAVY__TOP3_MEAN,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,5.0,HEAVY,TOP3_MEAN,generic_spatial_factory_v1,HSP_v1,492f6972e7a8dde1
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__HEAVY__TOP5_MEAN,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,5.0,HEAVY,TOP5_MEAN,generic_spatial_factory_v1,HSP_v1,492f6972e7a8dde1
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__LIGHT__MAX,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,5.0,LIGHT,MAX,generic_spatial_factory_v1,HSP_v1,492f6972e7a8dde1
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__LIGHT__MEAN,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,5.0,LIGHT,MEAN,generic_spatial_factory_v1,HSP_v1,492f6972e7a8dde1
