scheme,status,feasible,repeat,fold,N,n_groups,mean,SD,n_gt_TrainQ90,n_gt_TrainQ95,wasserstein_vs_train,ks_vs_train
TAIL_Q7,OK,True,0,1,33,15,9.340393939393937,0.7410470185569342,3,2,0.07186588103254775,0.08529741863075202
TAIL_Q7,OK,True,0,2,30,17,9.440966666666666,0.7992712406260805,4,2,0.08834567901234561,0.12962962962962962
TAIL_Q7,OK,True,0,3,33,17,9.43360606060606,0.9271074620625813,4,3,0.12478282828282804,0.14646464646464646
TAIL_Q7,OK,True,0,4,32,21,9.38528125,0.7272808941474646,2,1,0.088451774691358,0.1415895061728395
TAIL_Q7,OK,True,1,0,34,15,9.34485294117647,0.855273733687959,4,1,0.10681336238198975,0.09041394335511976
TAIL_Q7,OK,True,1,1,33,15,9.449,0.8916346294867645,4,3,0.07836868686868684,0.05836139169472487
TAIL_Q7,OK,True,1,2,30,18,9.438299999999998,0.7979766287304408,4,2,0.08279506172839499,0.12962962962962962
TAIL_Q7,OK,True,1,3,33,17,9.404848484848486,0.9006805455186413,3,2,0.13405555555555537,0.14646464646464646
TAIL_Q7,OK,True,1,4,32,20,9.339437499999999,0.6000265014308575,2,1,0.13859259259259255,0.13194444444444442
TAIL_Q7,OK,True,2,0,34,15,9.365147058823528,0.8481201720294174,4,1,0.0901401597676107,0.07661583151779228
TAIL_Q7,OK,True,2,1,33,15,9.428909090909091,0.8996610251796355,4,3,0.08642143658810314,0.0695847362514029
TAIL_Q7,OK,True,2,2,30,18,9.448699999999999,0.8195745384880687,4,2,0.08852592592592598,0.1197530864197531
TAIL_Q7,OK,True,2,3,33,17,9.390818181818181,0.8730073186457777,3,2,0.14089506172839486,0.15937149270482603
TAIL_Q7,OK,True,2,4,32,20,9.3433125,0.6159100498580365,2,1,0.11567824074074064,0.12152777777777779
TAIL_Q7,OK,True,3,0,34,15,9.348999999999998,0.8369159474106722,4,1,0.09131771968046462,0.10130718954248363
TAIL_Q7,OK,True,3,1,33,15,9.366090909090907,0.7517634835686504,3,2,0.0627693602693604,0.06621773288439958
TAIL_Q7,OK,True,3,2,30,18,9.443266666666664,0.8273393972010032,4,2,0.082620987654321,0.12962962962962962
TAIL_Q7,OK,True,3,3,33,17,9.482878787878787,1.002881808763368,4,3,0.16065600448933767,0.14870931537598206
TAIL_Q7,OK,True,3,4,32,20,9.33540625,0.615245970186433,2,1,0.11462770061728393,0.1415895061728395
TAIL_Q7,OK,True,4,0,34,15,9.358852941176469,0.8443277093336823,4,1,0.10207116920842403,0.09331880900508352
