tag,model,y_mode,repeat,fold,spearman,pearson,mae,rmse,n,target,members
SEQ_SIMPLE,PLS,raw,2,0,0.35177865612648224,0.4720829183240434,0.5191184857137262,0.6678517406647956,23.0,HIC,
SEQ_SIMPLE,Ridge_grid,raw,2,1,0.09774436090225563,0.09270833360186201,0.6542003551646174,0.9221241918375669,20.0,HIC,
SEQ_SIMPLE,ElasticNet,raw,2,1,0.33383458646616543,0.3037421831494416,0.47217695423902645,0.6864229622702489,20.0,HIC,
SEQ_SIMPLE,PLS,raw,2,1,0.12330827067669171,0.09384403029284119,0.6646833403109904,0.9341052464662322,20.0,HIC,
SEQ_SIMPLE,Ridge_grid,raw,2,2,0.3789731095592558,0.135504668811213,0.5402455449133201,0.7479379682581837,34.0,HIC,
SEQ_SIMPLE,ElasticNet,raw,2,2,0.3251833778798775,0.21045153469602754,0.513988978303631,0.8051717468537235,34.0,HIC,
SEQ_SIMPLE,PLS,raw,2,2,0.33633863473383946,0.19359878499145067,0.6292051088272732,0.9447212297029742,34.0,HIC,
SEQ_SIMPLE,Ridge_grid,raw,2,3,0.5549019607843138,0.5058604718842368,0.48622282905279396,0.7001987365598774,35.0,HIC,
SEQ_SIMPLE,ElasticNet,raw,2,3,0.37843137254901965,0.2943928589852317,0.498150726366017,0.7568321736420847,35.0,HIC,
SEQ_SIMPLE,PLS,raw,2,3,0.29299719887955183,0.23795351423925268,0.5772448209405648,0.8274069813875915,35.0,HIC,
SEQ_SIMPLE,Ridge_grid,raw,2,4,0.2425435902786566,0.4085271357729113,0.6368995632933039,0.8915189249979599,50.0,HIC,
SEQ_SIMPLE,ElasticNet,raw,2,4,0.20349647366547882,0.3993143546875444,0.6581630226884795,0.8964059599158829,50.0,HIC,
SEQ_SIMPLE,PLS,raw,2,4,0.20935594257914142,0.38340111800987586,0.704727051924146,0.9297462821996428,50.0,HIC,
SEQ_SIMPLE,Ridge_grid,raw,3,0,0.5549019607843138,0.5058604718842368,0.48622282905279396,0.7001987365598774,35.0,HIC,
SEQ_SIMPLE,ElasticNet,raw,3,0,0.37843137254901965,0.2943928589852317,0.498150726366017,0.7568321736420847,35.0,HIC,
SEQ_SIMPLE,PLS,raw,3,0,0.29299719887955183,0.23795351423925268,0.5772448209405648,0.8274069813875915,35.0,HIC,
SEQ_SIMPLE,Ridge_grid,raw,3,1,0.47631418649040325,0.1843588002723474,0.5383258776274741,0.7466926723553383,34.0,HIC,
SEQ_SIMPLE,ElasticNet,raw,3,1,0.41014670405525905,0.24363999137584608,0.4956261765255738,0.7997509060904776,34.0,HIC,
SEQ_SIMPLE,PLS,raw,3,1,0.3291564830607407,0.17483693735123768,0.6271010343294937,0.9492907250910045,34.0,HIC,
SEQ_SIMPLE,Ridge_grid,raw,3,2,0.25085250931196507,0.40529722848572597,0.6385434580018647,0.89297797566657,50.0,HIC,
SEQ_SIMPLE,ElasticNet,raw,3,2,0.21924979992516186,0.39670201491272716,0.6595441106669213,0.8975214777458702,50.0,HIC,
SEQ_SIMPLE,PLS,raw,3,2,0.19658037921000823,0.37649458970353056,0.7011040043338612,0.9338032773019914,50.0,HIC,
SEQ_SIMPLE,Ridge_grid,raw,3,3,0.09774436090225563,0.09270833360186201,0.6542003551646174,0.9221241918375669,20.0,HIC,
SEQ_SIMPLE,ElasticNet,raw,3,3,0.33383458646616543,0.3037421831494416,0.47217695423902645,0.6864229622702489,20.0,HIC,
SEQ_SIMPLE,PLS,raw,3,3,0.12330827067669171,0.09384403029284119,0.6646833403109904,0.9341052464662322,20.0,HIC,
