id,generator,n_atoms,R0_E,R0_F_rms,R0_F_q90,R0_F_max,R0_severe_clash,R0_all_clash,R0_min_heavy_dist,R1_E,R1_F_rms,R1_F_q90,R1_F_max,R1_severe_clash,R1_all_clash,R1_min_heavy_dist,delta_severe_clash,delta_F_rms,sidechain_heavy_RMSD,backbone_RMSD,converged,steps,final_fmax,optimizer,failure_mode
ADI-47072,esmfold,3585,-605.7466430664062,3.3440443096694272,4.1806855527414015,24.781195370508726,0,2,1.8959946765653952,-887.1509399414062,1.20398588118629,1.4848640988200974,15.547830389307418,0,0,2.0305434499441923,0,-2.140058428483137,0.2351585520094113,0.0,False,200,1.2555638358751122,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-47074,esmfold,3516,-601.6055297851562,3.302350483851892,4.192920232822286,13.76854852261826,0,0,2.066983580372297,-876.0203857421875,1.2832317363942227,1.6837187922965264,10.658985317570632,0,0,2.036035773742302,0,-2.019118747457669,0.2019046650139727,0.0,False,200,0.6245831629635241,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-47076,esmfold,3533,-618.5738525390625,3.2700051181106646,4.157221308895681,11.171846451895297,0,1,1.8644840687234223,-893.314208984375,1.2133874453099598,1.576268824344552,10.111837410558053,0,0,2.03149126545884,0,-2.056617672800705,0.2459115795904305,0.0,False,200,0.2661541776041781,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-47081,esmfold,3465,-596.2892456054688,3.285802006467147,4.162581996044707,13.93734539606148,0,2,1.9259971227733468,-861.4231567382812,1.2439337643452877,1.577128842594482,11.946982885074188,0,0,2.031541008146959,0,-2.0418682421218595,0.2188930547552061,0.0,False,200,0.5085515680163755,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-47083,esmfold,3485,-606.9309692382812,3.3069155789918256,4.211391609190362,13.103506752355768,0,1,1.9819690116455635,-881.3944091796875,1.2813872602095036,1.5723044068072998,12.48906937453399,0,0,2.035727649915806,0,-2.025528318782322,0.2535874144904798,0.0,False,200,0.3136440897774274,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-47085,esmfold,3398,-609.8207397460938,3.276277857848284,4.140865004094544,17.437891972618257,0,1,1.876671377781037,-860.7935180664062,1.217510511279177,1.565347398432357,16.014985915061963,0,0,2.030362627771783,0,-2.0587673465691068,0.1494284174990546,0.0,False,200,2.742708842218266,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-47089,esmfold,3461,-612.0313110351562,3.3976223662357183,4.192863850093611,27.18667604181279,0,1,1.919490109450266,-883.3712768554688,1.2896562330338492,1.7305918244344247,19.522614760302048,0,0,2.03330182457432,0,-2.1079661332018693,0.2512850239829327,0.0,False,200,0.3343908389797371,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-47091,esmfold,3622,-612.8179321289062,3.76185947868747,4.184277392106757,78.40738226773622,1,1,1.3232487845550085,-915.7579956054688,1.2240358923599357,1.5694714122741884,11.835180234007831,0,0,2.0216005286771543,-1,-2.5378235863275345,0.2695288279218732,0.0,False,200,1.7350917653522668,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-47093,esmfold,3397,-588.1487426757812,3.3883270518909474,4.240031794369075,27.46203381761677,0,1,1.830199940966477,-867.9522705078125,1.2076517397495163,1.555868677168976,11.70212540742972,0,0,2.028907925165356,0,-2.180675312141431,0.2501402618592109,0.0,False,200,0.6221768582976029,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-47095,esmfold,3540,-625.539794921875,3.371054408588445,4.182421612898114,26.187455359962307,0,3,1.823787744440169,-908.5098266601562,1.177540039734605,1.4616594927298776,10.416798600229058,0,0,2.0337461314891767,0,-2.19351436885384,0.2545985104079246,0.0,False,200,1.3656316346428243,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-47097,esmfold,3461,-613.9702758789062,3.389557037083452,4.191081235833229,27.01649152540405,0,1,1.8958328852518584,-881.9590454101562,1.2321569929757232,1.711673449678956,11.65471749441231,0,0,2.0291649270890835,0,-2.157400044107729,0.271747412049352,0.0,False,200,0.465974728674093,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-47099,esmfold,3507,-578.635009765625,3.326875244967686,4.179723945300196,14.897361340522956,0,1,1.86289680528719,-853.065185546875,1.2966368235481314,1.6194269766943452,14.204529442594623,0,0,2.0342036865249424,0,-2.0302384214195546,0.2291355419675325,0.0,False,200,0.527933408230238,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-47102,esmfold,3424,-605.0167846679688,3.2961029786600275,4.176277907696035,15.550014316020704,0,2,1.7945902014717996,-876.2484741210938,1.177773340628168,1.5264997888155676,11.620658141504832,0,0,2.032863007049616,0,-2.1183296380318595,0.2507731684039357,0.0,False,200,0.9867185934223646,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-47104,esmfold,3521,-607.4462890625,3.363130231729531,4.168979562464753,26.271717370761007,0,2,1.890470306839293,-889.0603637695312,1.218248914660359,1.6755480257084636,10.065602576111004,0,0,2.0325919007804747,0,-2.144881317069172,0.2611066428132367,0.0,False,200,0.4603146156321456,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-47106,esmfold,3481,-609.35693359375,3.265221411371265,4.160328523963307,16.000384166804665,0,2,1.567312545840332,-880.4548950195312,1.2604571691508324,1.650770840861266,14.774366520894466,0,0,2.034026819649244,0,-2.004764242220433,0.2536837310070537,0.0,False,200,0.3480681393218934,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
