candidate_id,stage,mae_cv_public_median,mae_cv_public_p05,mae_cv_public_p95,mae_cv_public_p_lt0,mae_public_private_median,mae_public_private_p05,mae_public_private_p95,mae_public_private_p_lt0,mae_cv_private_median,mae_cv_private_p05,mae_cv_private_p95,mae_cv_private_p_lt0,pear_cv_public_median,pear_cv_public_p05,pear_cv_public_p95,pear_cv_public_p_lt0,pear_public_private_median,pear_public_private_p05,pear_public_private_p95,pear_public_private_p_lt0,pear_cv_private_median,pear_cv_private_p05,pear_cv_private_p95,pear_cv_private_p_lt0
CAND_16827,screen_1000,0.6,-0.09999999999999999,0.8999999999999998,0.094,0.3,-0.6,0.8999999999999998,0.247,0.39999999999999997,-0.7,0.8999999999999998,0.293,0.7999999999999999,-0.19999999999999998,1.0,0.071,0.6000000000000001,-0.39999999999999997,1.0,0.156,0.7999999999999999,-0.39999999999999997,1.0,0.074
CAND_16977,screen_1000,0.6,-0.39999999999999997,0.8999999999999998,0.192,0.39999999999999997,-0.5049999999999997,0.8999999999999998,0.244,0.6,-0.3,0.8999999999999998,0.167,0.6000000000000001,0.0,1.0,0.037,0.6000000000000001,-0.39999999999999997,1.0,0.15,0.6000000000000001,-0.39999999999999997,1.0,0.18
CAND_17734,screen_1000,0.6,-0.39999999999999997,0.8999999999999998,0.193,0.39999999999999997,-0.49999999999999994,0.8999999999999998,0.227,0.6,-0.3,0.8999999999999998,0.193,0.6000000000000001,-0.39999999999999997,1.0,0.083,0.6000000000000001,-0.39999999999999997,1.0,0.112,0.7999999999999999,0.0,1.0,0.048
CAND_18328,screen_1000,0.6,-0.3,0.8999999999999998,0.173,0.39999999999999997,-0.6,0.8999999999999998,0.227,0.49999999999999994,-0.39999999999999997,0.8999999999999998,0.221,0.7999999999999999,-0.39999999999999997,1.0,0.129,0.39999999999999997,-0.7999999999999999,1.0,0.221,0.6000000000000001,0.0,1.0,0.016
CAND_18725,screen_1000,0.49999999999999994,-0.49999999999999994,0.8999999999999998,0.213,0.39999999999999997,-0.5049999999999997,0.8999999999999998,0.215,0.6,-0.3,0.8999999999999998,0.148,0.7999999999999999,-0.39999999999999997,1.0,0.085,0.6000000000000001,-0.39999999999999997,1.0,0.119,0.7999999999999999,0.0,1.0,0.043
CAND_18904,screen_1000,0.39999999999999997,-0.6,0.8999999999999998,0.331,0.39999999999999997,-0.6,0.8999999999999998,0.242,0.6,-0.19999999999999998,0.8999999999999998,0.098,0.7999999999999999,-0.39999999999999997,1.0,0.075,0.6000000000000001,-0.39999999999999997,1.0,0.127,0.6000000000000001,-0.009999999999999431,1.0,0.05
CAND_19278,screen_1000,0.6,-0.3,0.8999999999999998,0.16,0.39999999999999997,-0.49999999999999994,0.8999999999999998,0.233,0.49999999999999994,-0.3,0.8999999999999998,0.22,0.6000000000000001,0.0,1.0,0.024,0.6000000000000001,-0.39999999999999997,1.0,0.102,0.7999999999999999,-0.39999999999999997,1.0,0.147
CAND_00318,screen_1000,0.6,-0.1049999999999997,0.9999999999999999,0.095,0.49999999999999994,-0.49999999999999994,0.8999999999999998,0.176,0.49999999999999994,-0.6,0.8999999999999998,0.292,0.6000000000000001,-0.39999999999999997,1.0,0.085,0.6000000000000001,-0.6000000000000001,1.0,0.188,0.7999999999999999,-0.39999999999999997,1.0,0.068
CAND_00330,screen_1000,0.6,-0.49999999999999994,0.9999999999999999,0.216,0.49999999999999994,-0.39999999999999997,0.8999999999999998,0.167,0.6,-0.19999999999999998,0.8999999999999998,0.137,0.7999999999999999,-0.39999999999999997,1.0,0.101,0.6000000000000001,-0.7999999999999999,1.0,0.176,0.6000000000000001,0.0,1.0,0.043
CAND_00487,screen_1000,0.3,-0.7,0.8999999999999998,0.331,0.3,-0.6,0.8999999999999998,0.235,0.6,-0.19999999999999998,0.8999999999999998,0.094,0.39999999999999997,-0.7999999999999999,1.0,0.345,0.39999999999999997,-0.7999999999999999,1.0,0.298,0.7999999999999999,0.6000000000000001,1.0,0.003
