id,K_CH1_mean,K_CH1_median,K_CH1_q10,K_CH1_q90,K_CH1_iqr,K_CH1_frac_neg,K_CH1_n,K_CL_mean,K_CL_median,K_CL_q10,K_CL_q90,K_CL_iqr,K_CL_frac_neg,K_CL_n,K_CH1_CL_mean,K_CH1_CL_median,K_CH1_CL_q10,K_CH1_CL_q90,K_CH1_CL_iqr,K_CH1_CL_frac_neg,K_CH1_CL_n,K_CONST_mean_median,K_CONST_diff_median
ADI-47066,40.766693589245925,15.528411384638073,9.17679021182482,123.325641383803,42.17716898666212,0.0,38.0,33.6439091441741,19.084918508216468,10.138549884679826,70.70937261469388,53.24742355442023,0.0,34.0,45.80881358468231,29.253523382673013,10.389008132819148,96.01567400669114,67.774001946501,0.0,8.0,17.30666494642727,-3.5565071235783954
ADI-45379,41.60111501594167,18.93464355933288,9.617596728550032,94.01200802157663,38.24497449087473,0.0,40.0,41.61437457025494,20.43739304816882,10.619429721107329,92.01836036638753,61.98841641448262,0.0,34.0,35.71534618466757,22.24069243477195,10.238733183935556,77.63203859326478,44.73184311768322,0.0,8.0,19.68601830375085,-1.5027494888359385
ADI-47067,45.15909542333265,13.574837049151348,8.475507117034716,116.71354363292488,62.43924126113341,0.0,34.0,70.33394888274609,16.079419530544584,8.11484723971409,117.31464342845923,95.22422594257088,0.0,38.0,137.18850541831455,19.53574335486725,10.709594690437482,321.2277307335709,94.94872186961764,0.0,8.0,14.827128289847966,-2.5045824813932356
ADI-47068,51.17303994630158,17.682352318636255,9.016496933015654,154.48264745233487,64.34272394699227,0.0,34.0,42.0796220900184,15.979236231288857,9.06658858264352,91.88812207735508,75.28774939068072,0.0,38.0,54.24925654697752,13.72511199803494,9.156753551973676,138.35313627216243,92.01836036638754,0.0,8.0,16.830794274962557,1.7031160873473983
ADI-47069,55.19473643370347,24.89554986504878,10.01832992557295,143.222044615991,84.45452127257997,0.03125,32.0,46.44023201025461,18.032993866031312,10.719613020363056,104.49118112372588,84.65488787109142,0.0,38.0,51.268803394119566,23.79353357323576,12.001959250836396,111.98489190805442,73.23399175593826,0.0,8.0,21.464271865540045,6.8625559990174665
ADI-47070,43.61869534817512,23.99390017174721,10.419063122595867,102.08678194158836,64.11731152366688,0.0,36.0,46.49389055753399,12.923645603989105,8.685892045471748,118.35654974071882,71.90656304079985,0.0,34.0,46.560188329100285,39.57240320601315,12.7032423456265,92.67957014147537,54.8503563425119,0.0,8.0,18.458772887868157,11.070254567758106
ADI-45442,35.54837401924134,16.22969447942818,10.519246421851596,71.23032577082367,37.668920520154295,0.0,36.0,43.877899757360574,16.12951118017245,9.84801831683821,101.696067074491,68.09959766908213,0.0,42.0,43.57973517624234,36.31644598020194,11.260602836343995,85.10571271774221,58.53209259015996,0.0,8.0,16.179602829800316,0.100183299255729
ADI-47184,42.09975461905543,20.287118099285223,9.91814662631722,88.0010100662328,42.65303965812683,0.0,44.0,60.59753827648225,26.79903255090764,8.886258643983208,191.75083477546625,77.84242352170182,0.0,30.0,44.368678657881205,37.21809567350351,10.929997948800088,87.11939703278237,55.075768765837296,0.0,8.0,23.54307532509643,-6.511914451622417
ADI-47073,50.31205288622736,18.53391036230996,9.617596728550032,127.63352325179936,75.13747444179711,0.0,40.0,50.05547232535574,17.532077369752663,10.819796319618783,103.99026462744722,74.28591639812342,0.0,36.0,45.75872193505445,18.28345211417064,10.599393061256182,122.47408334012933,58.03117609388132,0.0,8.0,18.032993866031312,1.001832992557297
ADI-46682,40.55050857506251,20.537576347424547,10.86988796924665,97.4783501758248,50.86807019709665,0.0,38.0,40.332126558702434,22.04032583626049,10.76970466999092,87.46002025025184,62.31401213706374,0.0,36.0,44.2184037089976,27.149674098302693,7.714114042691172,109.96118926308868,53.19733190479236,0.0,8.0,21.28895109184252,-1.502749488835942
ADI-47074,29.39044055832251,19.235193457100063,10.01832992557295,54.74015471333061,33.48626777622758,0.0,30.0,45.3680070679571,13.023828903244835,9.687725038029043,108.05770657722984,80.97315162344336,0.0,40.0,37.00520616258508,14.376303443197184,10.839832979469932,88.09117503556294,49.76605390528363,0.0,8.0,16.12951118017245,6.211364553855228
ADI-47186,50.58978325471963,21.38913439109825,9.617596728550032,143.86321773122756,66.24620663285113,0.0,36.0,42.18273472550966,17.231527471985473,10.869887969246651,106.34457215995688,75.53820763882004,0.0,36.0,39.49726573157135,28.301782039743586,15.969217901363283,77.02092046780484,38.49543273901406,0.0,8.0,19.310330931541863,4.1576069191127765
ADI-45370,34.10489964913171,18.63409366156569,10.278806503637846,72.73307525965961,47.38670054796005,0.0,40.0,42.87288634260469,17.131344172729744,5.91081465608804,108.04768824730424,76.06416995991262,0.0,36.0,36.629518790376096,18.63409366156569,2.3242525427329244,86.19771067962965,47.98780034349443,0.0,8.0,17.882718917147717,1.5027494888359456
ADI-47077,51.53376185662485,21.339042741470383,9.317046830782845,134.06529106401737,71.08005082194008,0.0263157894736842,38.0,42.63801216323848,19.034826858588605,10.619429721107329,80.22678604398821,63.04034105666779,0.0,30.0,40.06079678988483,24.39463336877013,10.45913644229816,80.04645610532785,42.40258140998751,0.0,8.0,20.186934800029494,2.3042158828817776
ADI-47079,40.602064892808144,12.322545808454729,7.814297341946901,127.83388985031084,51.04339097079418,0.0,36.0,43.15542943821806,12.623095706221916,10.01832992557295,99.28164956242792,54.54980644474472,0.0,34.0,36.76727082685272,21.08858449333106,5.8607230064601765,79.04462311277055,34.86378814099387,0.0,8.0,12.472820757338322,-0.300549897767187
ADI-47289,28.63572637059601,13.9254785965464,10.519246421851596,72.23215876338097,32.233976535530964,0.0,30.0,45.55084158909881,14.12584519505786,9.617596728550032,96.38635221393736,71.83142556635805,0.0,40.0,36.4041063670507,34.86378814099386,10.378989802893576,66.71205897439027,42.92854373108009,0.0,8.0,14.02566189580213,-0.20036659851145977
