antibody_id,pair_hash,predictor,model,input,pdb_path,structure_hash,runtime_s,success,n_chains,chain_ids,vh_len,vl_len,error,mean_plddt,chain_lens.A,chain_lens.B
ADI-47288,3259e9583e3bd101b22437a20ae8cdaa,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/3259e9583e3bd101b22437a20ae8cdaa.pdb,2a6dfd9ba0b261f4f697b7288c4e1f5b,4.6890732469037175,True,2,"A,B",118,107,,73.97212982177734,118,107
ADI-47135,32e9648db850dce32492e0d4d0c820fb,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/32e9648db850dce32492e0d4d0c820fb.pdb,f2591e55d05f74e8c7a7c838ae6e7421,5.774390910752118,True,2,"A,B",131,110,,70.58059692382812,131,110
ADI-47165,332c09470d84fe82da4b14e46af26800,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/332c09470d84fe82da4b14e46af26800.pdb,63bb2d4d1c0900965f9413cf53062e3a,4.930229716934264,True,2,"A,B",122,107,,71.78849792480469,122,107
ADI-47199,333871d376b0954ff25d53ef42a2c537,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/333871d376b0954ff25d53ef42a2c537.pdb,f2b5ea7a7b09179d78cdd1b4612e8f6f,4.931005362421274,True,2,"A,B",121,108,,73.2198486328125,121,108
ADI-47195,338a940ff535807abb36c4d039d4d614,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/338a940ff535807abb36c4d039d4d614.pdb,cbbe34ec2f3f2bfe1db7dda12bfd5286,5.006332332268357,True,2,"A,B",120,110,,72.24922943115234,120,110
ADI-46696,341d36cfbc2e3185fefea5a0061203ed,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/341d36cfbc2e3185fefea5a0061203ed.pdb,aab84c0af24979b6ccbf031ddee624fe,5.471493199467659,True,2,"A,B",124,109,,73.04994201660156,124,109
ADI-47103,345510f06a7c440518501bfeb446df04,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/345510f06a7c440518501bfeb446df04.pdb,9f3b7b621c0c3fcc66d904351633fea8,5.445212170481682,True,2,"A,B",119,113,,70.77233123779297,119,113
ADI-47214,3606a5fc5e78ad6efcd4032cde648bac,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/3606a5fc5e78ad6efcd4032cde648bac.pdb,c810cd3cf86aa0bdb803ac96ae3f2d6f,4.925855860114098,True,2,"A,B",122,107,,72.56472778320312,122,107
ADI-47300,37b734b14fb3748172a7c47b2a8b9afb,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/37b734b14fb3748172a7c47b2a8b9afb.pdb,daf1bdf25ae6e52f59a921b5201a3f92,5.445849584415555,True,2,"A,B",125,107,,73.58843231201172,125,107
ADI-46697,3889a0df798ae770463b46d045490b98,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/3889a0df798ae770463b46d045490b98.pdb,1e7b2c0e9f61513d2d5c65afa18754e9,5.472647151909769,True,2,"A,B",121,112,,73.01241302490234,121,112
ADI-45438,39b6b1c36d12664b8e2ee35d0508a330,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/39b6b1c36d12664b8e2ee35d0508a330.pdb,7b8424078425b126b6e65373145af33f,5.051817555911839,True,2,"A,B",124,107,,71.8301010131836,124,107
ADI-45495,3abb9e34828e0177fb8d9dd50f49d947,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/3abb9e34828e0177fb8d9dd50f49d947.pdb,bee48ce1b48371fd86bd756016ad46dd,4.8856509840115905,True,2,"A,B",118,110,,70.86493682861328,118,110
ADI-47221,3afbfc40663d4ff5a8b79d56af6441d2,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/3afbfc40663d4ff5a8b79d56af6441d2.pdb,c6b9dd62d43bf580df8a320fb41e26ef,6.143030348233879,True,2,"A,B",140,107,,68.2842025756836,140,107
