kind,representation,annotation,topology,scheme,delta_mae,ci95_lo,ci95_hi,code_x,code_a,code_base,family
topology_gain_vs_A,ablang2_unpaired,FULL,C,shadow,-0.17379831384729455,-0.4088987568278371,0.07078949786998602,EXP-T210,EXP-T207,,
topology_gain_vs_A,ablang2_unpaired,FULL,D,primary,-0.023993221330054014,-0.25423185207225657,0.20073010009012093,EXP-T211,EXP-T207,,
topology_gain_vs_A,ablang2_unpaired,FULL,D,shadow,0.1627552126660759,-0.1117328002129072,0.4459675983146381,EXP-T211,EXP-T207,,
topology_gain_vs_A,ablang1,BASE,B1,primary,-0.13011437875253182,-0.33821575965410405,0.06399207644992404,EXP-T232,EXP-T231,,
topology_gain_vs_A,ablang1,BASE,B1,shadow,-0.0645514358708888,-0.25387349187591934,0.12989951828379687,EXP-T232,EXP-T231,,
topology_gain_vs_A,ablang1,BASE,B2,primary,0.09503258599175347,-0.13794487964959798,0.3140780684388713,EXP-T233,EXP-T231,,
topology_gain_vs_A,ablang1,BASE,B2,shadow,0.011343520364643615,-0.14236584239535863,0.16190726138927317,EXP-T233,EXP-T231,,
topology_gain_vs_A,ablang1,BASE,C,primary,0.19900237189398873,-0.039403091242283986,0.40933144946157185,EXP-T234,EXP-T231,,
topology_gain_vs_A,ablang1,BASE,C,shadow,0.013639873928493924,-0.18165375980330103,0.19721868067611875,EXP-T234,EXP-T231,,
topology_gain_vs_A,ablang1,BASE,D,primary,0.2160702458134404,-0.019805738661024305,0.4420531420060145,EXP-T235,EXP-T231,,
topology_gain_vs_A,ablang1,BASE,D,shadow,0.01266632551028409,-0.2262705308419687,0.2287178263252164,EXP-T235,EXP-T231,,
topology_gain_vs_A,ablang1,IMGT,B1,primary,-0.061977009714385564,-0.3176460825366738,0.19768108026480943,EXP-T237,EXP-T236,,
topology_gain_vs_A,ablang1,IMGT,B1,shadow,0.11169833901487751,-0.0838934745317624,0.3143847065207398,EXP-T237,EXP-T236,,
topology_gain_vs_A,ablang1,IMGT,B2,primary,-0.048118402928481865,-0.28212503503870084,0.1999304123866705,EXP-T238,EXP-T236,,
topology_gain_vs_A,ablang1,IMGT,B2,shadow,-0.007740444607204861,-0.17154569979067202,0.16020059467833717,EXP-T238,EXP-T236,,
topology_gain_vs_A,ablang1,IMGT,C,primary,0.0911470813515746,-0.11431538381694276,0.30165422580860285,EXP-T239,EXP-T236,,
topology_gain_vs_A,ablang1,IMGT,C,shadow,0.14535710841049382,-0.07625950707329643,0.39019778687276907,EXP-T239,EXP-T236,,
topology_gain_vs_A,ablang1,IMGT,D,primary,-0.03509731057249465,-0.2876145539460359,0.22137710665479116,EXP-T240,EXP-T236,,
topology_gain_vs_A,ablang1,IMGT,D,shadow,0.11222660394362462,-0.06911542680528429,0.2826054478869025,EXP-T240,EXP-T236,,
topology_gain_vs_A,ablang1,REGION,B1,primary,0.07873292616855947,-0.11391108536425931,0.2862650453308482,EXP-T242,EXP-T241,,
topology_gain_vs_A,ablang1,REGION,B1,shadow,0.19145077834894633,0.02624328283616067,0.3557858325816964,EXP-T242,EXP-T241,,
topology_gain_vs_A,ablang1,REGION,B2,primary,0.026974595623251788,-0.14583750359806014,0.207210690886886,EXP-T243,EXP-T241,,
topology_gain_vs_A,ablang1,REGION,B2,shadow,-0.04389369634934409,-0.23537136890270083,0.15704102516174306,EXP-T243,EXP-T241,,
topology_gain_vs_A,ablang1,REGION,C,primary,0.010503109590506848,-0.16002912285887164,0.18761062798676661,EXP-T244,EXP-T241,,
topology_gain_vs_A,ablang1,REGION,C,shadow,-0.08074378967285152,-0.29858552261635096,0.12583937939302423,EXP-T244,EXP-T241,,
topology_gain_vs_A,ablang1,REGION,D,primary,0.04891642817744498,-0.10533049077163507,0.20558022922939706,EXP-T245,EXP-T241,,
topology_gain_vs_A,ablang1,REGION,D,shadow,0.023181279500325565,-0.17880339445891197,0.21427686126143838,EXP-T245,EXP-T241,,
topology_gain_vs_A,ablang1,FULL,B1,primary,0.09493637084960942,-0.08741159027005406,0.279097153816694,EXP-T228,EXP-T227,,
topology_gain_vs_A,ablang1,FULL,B1,shadow,-0.08513594262393905,-0.29654549610467607,0.1294160489682798,EXP-T228,EXP-T227,,
topology_gain_vs_A,ablang1,FULL,B2,primary,0.023947327225296584,-0.09706761925308792,0.13513841334684382,EXP-T229,EXP-T227,,
topology_gain_vs_A,ablang1,FULL,B2,shadow,0.0798376813346957,-0.09831402743304218,0.2632186819005895,EXP-T229,EXP-T227,,
topology_gain_vs_A,ablang1,FULL,C,primary,0.03432078420380016,-0.14953198903872644,0.23473435154667596,EXP-T157,EXP-T227,,
