topology,annotation,rep1,rep2,scheme,did,ci95_lo,ci95_hi,note
A,REGION,ablang2_unpaired,esmc600m,shadow,-0.05657690542715567,-0.3923160011385694,0.3023828206238922,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablang2_unpaired,currab_paired,primary,0.010202855239679872,-0.24856331495591139,0.2530930389592677,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablang2_unpaired,currab_paired,shadow,-0.0018943268575785635,-0.37886392687573844,0.3731562661535946,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablang2_unpaired,currab_unpaired,primary,0.1370799688645352,-0.1668748849703941,0.4411338776717952,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablang2_unpaired,currab_unpaired,shadow,0.2179579793671031,-0.1430851035647922,0.5797950697533878,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablang1,esm1b,primary,0.23530597451292437,-0.08435675420878841,0.5346197864155704,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablang1,esm1b,shadow,-0.015193115045994932,-0.31816587212644976,0.29079683445118065,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablang1,esm2,primary,-0.2508113060468509,-0.6057386639677449,0.08110811622054431,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablang1,esm2,shadow,0.01697417836130397,-0.21079899234536256,0.25031992829876126,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablang1,esmc600m,primary,-0.0017255147298177083,-0.2453865257310279,0.21446528611359764,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablang1,esmc600m,shadow,-0.08134936109001258,-0.3363314740451766,0.15329031120111894,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablang1,currab_paired,primary,-0.059143254786361885,-0.2834733144736585,0.15201937357584597,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablang1,currab_paired,shadow,-0.026666782520435476,-0.2958133361957691,0.22018383167408134,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablang1,currab_unpaired,primary,0.06773385883849344,-0.20785724380869922,0.3315444504773175,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablang1,currab_unpaired,shadow,0.1931855237042462,-0.04840097074155467,0.4303674868595453,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,esm1b,esm2,primary,-0.48611728055977527,-0.7760321511162653,-0.1964143917884357,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,esm1b,esm2,shadow,0.0321672934072989,-0.23793624536490735,0.30842984340808965,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,esm1b,esmc600m,primary,-0.2370314892427421,-0.5277706369941617,0.054653827055000784,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,esm1b,esmc600m,shadow,-0.06615624604401765,-0.42163684044355226,0.27463334695792485,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,esm1b,currab_paired,primary,-0.29444922929928624,-0.5810314661190834,-0.00197834438747834,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,esm1b,currab_paired,shadow,-0.011473667474440542,-0.3211212864628544,0.30095185350488696,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,esm1b,currab_unpaired,primary,-0.16757211567443095,-0.46029524037867414,0.1303307180051448,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,esm1b,currab_unpaired,shadow,0.20837863875024112,-0.06262272022388599,0.4756674848956823,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,esm2,esmc600m,primary,0.24908579131703323,-0.09990239673190646,0.607198086491337,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,esm2,esmc600m,shadow,-0.09832353945131656,-0.3530079547269845,0.172903635472427,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,esm2,currab_paired,primary,0.19166805126048905,-0.1326081146428614,0.5226999706692165,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,esm2,currab_paired,shadow,-0.043640960881739445,-0.29852493486286674,0.20403094115080653,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,esm2,currab_unpaired,primary,0.31854516488534435,-0.023131955700156123,0.6648453053132986,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,esm2,currab_unpaired,shadow,0.17621134534294222,-0.05527798217019917,0.4137403164380861,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,esmc600m,currab_paired,primary,-0.057417740056544174,-0.27432561921484677,0.16085867822906108,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,esmc600m,currab_paired,shadow,0.05468257856957711,-0.23728522194756402,0.36081335161939077,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,esmc600m,currab_unpaired,primary,0.06945937356831115,-0.19622582800594376,0.33627320160100455,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,esmc600m,currab_unpaired,shadow,0.2745348847942588,0.0005415357189413959,0.5583276307141337,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,currab_paired,currab_unpaired,primary,0.12687711362485532,-0.13308355543348524,0.3575253345348215,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,currab_paired,currab_unpaired,shadow,0.21985230622468166,-0.07733857307905032,0.537257717273853,DiD=annot_gain(r1)-annot_gain(r2)
A,FULL,scratch,ablingua,primary,-0.07781118228111743,-0.426613540413939,0.3011175697232465,DiD=annot_gain(r1)-annot_gain(r2)
A,FULL,scratch,ablingua,shadow,0.25584661224741995,-0.06665456913135669,0.6079492298173316,DiD=annot_gain(r1)-annot_gain(r2)
A,FULL,scratch,ablang2_paired,primary,-0.13175611142758975,-0.5551290176532888,0.30544760080031375,DiD=annot_gain(r1)-annot_gain(r2)
A,FULL,scratch,ablang2_paired,shadow,0.2531517170093678,-0.0792300342041769,0.6133862183417803,DiD=annot_gain(r1)-annot_gain(r2)
A,FULL,scratch,ablang2_unpaired,primary,-0.15325383786801944,-0.5903264357719893,0.27684862172162056,DiD=annot_gain(r1)-annot_gain(r2)
