code,scheme,fold,split,block,feature,mae_normal,delta_mae_mean,delta_mae_sd,delta_mae_q025,delta_mae_q975,n_perm
EXP-H104,primary,1,TEST_OOF,HSP,,0.4904189288977421,0.06321771794405844,0.019769391719171765,0.027647802462722103,0.10033504710341945,100
EXP-H104,primary,1,TEST_OOF,HSP_FEATURE,HSP_MAX,0.4904189288977421,0.026221197172222658,0.014008308011726032,0.0009630338379830324,0.05157686813238888,100
EXP-H104,primary,1,TEST_OOF,HSP_FEATURE,HSP_MEAN,0.4904189288977421,-0.008832638103600696,0.0027992894242383818,-0.013348221923365707,-0.003021910696318662,100
EXP-H104,primary,1,TEST_OOF,HSP_FEATURE,HSP_SUM,0.4904189288977421,0.03910205212448575,0.013672733572317946,0.012149918151624159,0.06299997732567056,100
EXP-H104,primary,2,TEST_OOF,HSP,,0.5667397509488192,0.016708421901356064,0.04295237169991172,-0.060886947747432925,0.10319833939292211,100
EXP-H104,primary,2,TEST_OOF,HSP_FEATURE,HSP_MAX,0.5667397509488192,0.032585606980757235,0.034102402732658695,-0.03331062901236798,0.09623291326580626,100
EXP-H104,primary,2,TEST_OOF,HSP_FEATURE,HSP_MEAN,0.5667397509488192,-0.0016213377981475086,0.017302870193956668,-0.03843465642062104,0.028464455616112962,100
EXP-H104,primary,2,TEST_OOF,HSP_FEATURE,HSP_SUM,0.5667397509488192,0.0012088430994206744,0.033352797808523404,-0.05589421857198085,0.06773409650976002,100
EXP-H104,primary,3,TEST_OOF,HSP,,0.5004438488483427,0.051130447032451676,0.025802088499734994,0.007320436298847302,0.10410362551808353,100
EXP-H104,primary,3,TEST_OOF,HSP_FEATURE,HSP_MAX,0.5004438488483427,-0.00030942322254179144,0.013007148581100619,-0.02269614322781563,0.024884219151735266,100
EXP-H104,primary,3,TEST_OOF,HSP_FEATURE,HSP_MEAN,0.5004438488483427,0.0022812393522262686,0.0029647662370628747,-0.0024043479561805413,0.008477806806564306,100
EXP-H104,primary,3,TEST_OOF,HSP_FEATURE,HSP_SUM,0.5004438488483427,0.014788402142524753,0.014804540255073148,-0.009182203119993243,0.047797024887800264,100
EXP-H104,primary,4,TEST_OOF,HSP,,0.49328212928771975,0.02593398889303202,0.03754828778407314,-0.05575010350942616,0.09378020530939087,100
EXP-H104,primary,4,TEST_OOF,HSP_FEATURE,HSP_MAX,0.49328212928771975,0.008135460050105995,0.019515646958928722,-0.028691187024116598,0.04550277012586583,100
EXP-H104,primary,4,TEST_OOF,HSP_FEATURE,HSP_MEAN,0.49328212928771975,-0.024985307424068456,0.011368573340909715,-0.05030593644976618,-0.004056513309478761,100
EXP-H104,primary,4,TEST_OOF,HSP_FEATURE,HSP_SUM,0.49328212928771975,-0.005831296851635011,0.02080353224709785,-0.045628740757703824,0.0402851343929767,100
EXP-H104,shadow,0,TEST_OOF,HSP,,0.5112295536994933,0.013566751649379767,0.04532035083035999,-0.07418412652611724,0.09262507837414741,100
