delta_mae,ci95_lo,ci95_hi,n,contrast,name,scheme,split,model_a,model_b,sign
-0.01593780517578125,-0.31716514516759803,0.2823395446494773,162,SCRATCH_vs_ABLINGUA_ARCH-1_CONCAT,scratch_vs_ablingua,primary,val,EXP-T090,EXP-T075,delta=MAE_a-MAE_b; negative => a better
0.3872153670699508,0.10925637468879605,0.673124329837752,162,SCRATCH_vs_ABLINGUA_ARCH-1_CONCAT,scratch_vs_ablingua,shadow,test,EXP-T090,EXP-T075,delta=MAE_a-MAE_b; negative => a better
-0.1783228744695216,-0.45616795928389936,0.10217603871851784,162,SCRATCH_vs_ABLINGUA_ARCH-1_CONCAT,scratch_vs_ablingua,shadow,val,EXP-T090,EXP-T075,delta=MAE_a-MAE_b; negative => a better
0.10528472617820453,-0.13009212517444008,0.3641769503369742,162,SCRATCH_vs_ABLINGUA_ARCH-1_MEAN,scratch_vs_ablingua,primary,test,EXP-T091,EXP-T080,delta=MAE_a-MAE_b; negative => a better
0.016682942708333332,-0.23902036996535314,0.27364031709270703,162,SCRATCH_vs_ABLINGUA_ARCH-1_MEAN,scratch_vs_ablingua,primary,val,EXP-T091,EXP-T080,delta=MAE_a-MAE_b; negative => a better
0.29280853271484375,0.015348209569483628,0.5755838523676365,162,SCRATCH_vs_ABLINGUA_ARCH-1_MEAN,scratch_vs_ablingua,shadow,test,EXP-T091,EXP-T080,delta=MAE_a-MAE_b; negative => a better
-0.07507762202510128,-0.35946470896403,0.2172892005355269,162,SCRATCH_vs_ABLINGUA_ARCH-1_MEAN,scratch_vs_ablingua,shadow,val,EXP-T091,EXP-T080,delta=MAE_a-MAE_b; negative => a better
-0.08803760858229649,-0.35074825640077945,0.1798946133366334,162,SCRATCH_vs_ABLINGUA_ARCH-2,scratch_vs_ablingua,primary,test,EXP-T092,EXP-T076,delta=MAE_a-MAE_b; negative => a better
-0.0843994234815056,-0.34391950442467206,0.17213448889461563,162,SCRATCH_vs_ABLINGUA_ARCH-2,scratch_vs_ablingua,primary,val,EXP-T092,EXP-T076,delta=MAE_a-MAE_b; negative => a better
0.06732078834816262,-0.23361534895720304,0.3809635574435009,162,SCRATCH_vs_ABLINGUA_ARCH-2,scratch_vs_ablingua,shadow,test,EXP-T092,EXP-T076,delta=MAE_a-MAE_b; negative => a better
-0.05769025543589651,-0.34901019143469536,0.2219440595603283,162,SCRATCH_vs_ABLINGUA_ARCH-2,scratch_vs_ablingua,shadow,val,EXP-T092,EXP-T076,delta=MAE_a-MAE_b; negative => a better
-0.04067941359531737,-0.3458551041873886,0.27313080422672203,162,SCRATCH_vs_ABLINGUA_ARCH-3_CONCAT,scratch_vs_ablingua,primary,test,EXP-T093,EXP-T077,delta=MAE_a-MAE_b; negative => a better
