representation,plm_family,plm_source,content_mode,subdir,representation_context,paired_match_group,topology,annotation,annotation_mode,experiment_code,execution_status,reuse_source,raw_dim,config_path,primary_mae,shadow_mae,mean_ps,worst_ps,notes
ablang2_unpaired,ablang2,ablang2_unpaired,frozen,ablang2_unpaired,PAIRED_NATIVE,ablang2,A,IMGT,imgt,EXP-T217,COMPLETE,,480,experiments/configs/EXP-T217.yaml,3.074676702051987,3.2350246523633417,3.1548506772076643,3.2350246523633417,"Allocation name ablang2_unpaired holds JOINT paired inference (<H>|<L>) with the SAME ablang2-paired checkpoint, complementary to historical SEPARATE ablang2_paired asset, enabling matched inference-context contrast."
ablang2_unpaired,ablang2,ablang2_unpaired,frozen,ablang2_unpaired,PAIRED_NATIVE,ablang2,B1,IMGT,imgt,EXP-T218,COMPLETE,,480,experiments/configs/EXP-T218.yaml,3.2327734393838012,3.351634673130365,3.2922040562570833,3.351634673130365,"Allocation name ablang2_unpaired holds JOINT paired inference (<H>|<L>) with the SAME ablang2-paired checkpoint, complementary to historical SEPARATE ablang2_paired asset, enabling matched inference-context contrast."
ablang2_unpaired,ablang2,ablang2_unpaired,frozen,ablang2_unpaired,PAIRED_NATIVE,ablang2,B2,IMGT,imgt,EXP-T219,COMPLETE,,480,experiments/configs/EXP-T219.yaml,3.1344255753505377,3.4311241102807317,3.282774842815635,3.4311241102807317,"Allocation name ablang2_unpaired holds JOINT paired inference (<H>|<L>) with the SAME ablang2-paired checkpoint, complementary to historical SEPARATE ablang2_paired asset, enabling matched inference-context contrast."
ablang2_unpaired,ablang2,ablang2_unpaired,frozen,ablang2_unpaired,PAIRED_NATIVE,ablang2,C,IMGT,imgt,EXP-T220,COMPLETE,,480,experiments/configs/EXP-T220.yaml,3.200681545116283,3.0479605403947243,3.1243210427555037,3.200681545116283,"Allocation name ablang2_unpaired holds JOINT paired inference (<H>|<L>) with the SAME ablang2-paired checkpoint, complementary to historical SEPARATE ablang2_paired asset, enabling matched inference-context contrast."
ablang2_unpaired,ablang2,ablang2_unpaired,frozen,ablang2_unpaired,PAIRED_NATIVE,ablang2,D,IMGT,imgt,EXP-T221,COMPLETE,,480,experiments/configs/EXP-T221.yaml,3.2091669388759283,3.3360122869044173,3.272589612890173,3.3360122869044173,"Allocation name ablang2_unpaired holds JOINT paired inference (<H>|<L>) with the SAME ablang2-paired checkpoint, complementary to historical SEPARATE ablang2_paired asset, enabling matched inference-context contrast."
ablang2_unpaired,ablang2,ablang2_unpaired,frozen,ablang2_unpaired,PAIRED_NATIVE,ablang2,A,REGION,region,EXP-T222,COMPLETE,,480,experiments/configs/EXP-T222.yaml,3.1944350725338784,3.2775280092969354,3.235981540915407,3.2775280092969354,"Allocation name ablang2_unpaired holds JOINT paired inference (<H>|<L>) with the SAME ablang2-paired checkpoint, complementary to historical SEPARATE ablang2_paired asset, enabling matched inference-context contrast."
ablang2_unpaired,ablang2,ablang2_unpaired,frozen,ablang2_unpaired,PAIRED_NATIVE,ablang2,B1,REGION,region,EXP-T223,COMPLETE,,480,experiments/configs/EXP-T223.yaml,3.2976172411883318,3.2527295807261525,3.275173410957242,3.2976172411883318,"Allocation name ablang2_unpaired holds JOINT paired inference (<H>|<L>) with the SAME ablang2-paired checkpoint, complementary to historical SEPARATE ablang2_paired asset, enabling matched inference-context contrast."
ablang2_unpaired,ablang2,ablang2_unpaired,frozen,ablang2_unpaired,PAIRED_NATIVE,ablang2,B2,REGION,region,EXP-T224,COMPLETE,,480,experiments/configs/EXP-T224.yaml,3.160469596768603,3.3785278649977695,3.2694987308831864,3.3785278649977695,"Allocation name ablang2_unpaired holds JOINT paired inference (<H>|<L>) with the SAME ablang2-paired checkpoint, complementary to historical SEPARATE ablang2_paired asset, enabling matched inference-context contrast."
ablang2_unpaired,ablang2,ablang2_unpaired,frozen,ablang2_unpaired,PAIRED_NATIVE,ablang2,C,REGION,region,EXP-T225,COMPLETE,,480,experiments/configs/EXP-T225.yaml,2.9667591518825955,3.036761013078101,3.0017600824803483,3.036761013078101,"Allocation name ablang2_unpaired holds JOINT paired inference (<H>|<L>) with the SAME ablang2-paired checkpoint, complementary to historical SEPARATE ablang2_paired asset, enabling matched inference-context contrast."
ablang2_unpaired,ablang2,ablang2_unpaired,frozen,ablang2_unpaired,PAIRED_NATIVE,ablang2,D,REGION,region,EXP-T226,COMPLETE,,480,experiments/configs/EXP-T226.yaml,3.1685354915665993,3.327362036999361,3.24794876428298,3.327362036999361,"Allocation name ablang2_unpaired holds JOINT paired inference (<H>|<L>) with the SAME ablang2-paired checkpoint, complementary to historical SEPARATE ablang2_paired asset, enabling matched inference-context contrast."
