representation,topology,annotation,delta_primary,delta_shadow,delta_mean,code_x,code_base,scheme_note
esm2,C,INTERACTION_FULL_IMGT_REGION,0.10088449642982011,,,EXP-T155,EXP-T268,primary
esm2,C,INTERACTION_FULL_IMGT_REGION,,-0.0019354172694834304,,EXP-T155,EXP-T268,shadow
esm2,C,INTERACTION_FULL_IMGT_REGION,,,0.049474539580167676,EXP-T155,EXP-T268,mean
esm2,D,IMGT,-0.2207284621250487,0.05339387022418762,-0.08366729595043054,EXP-T274,EXP-T269,
esm2,D,REGION,-0.035634523556556275,-0.17004648844401027,-0.1028405060002835,EXP-T279,EXP-T269,
esm2,D,FULL,-0.23812225718557123,-0.15918997776361143,-0.19865611747459155,EXP-T156,EXP-T269,
esm2,D,INTERACTION_FULL_IMGT_REGION,0.018240728496033753,,,EXP-T156,EXP-T269,primary
esm2,D,INTERACTION_FULL_IMGT_REGION,,-0.04253735954378879,,EXP-T156,EXP-T269,shadow
esm2,D,INTERACTION_FULL_IMGT_REGION,,,-0.012148315523877518,EXP-T156,EXP-T269,mean
esmc600m,A,IMGT,0.16547829427836858,-0.012513054741753571,0.07648261976830772,EXP-T289,EXP-T284,
esmc600m,A,REGION,0.045518663194443754,0.10900506855529013,0.07726186587486694,EXP-T294,EXP-T284,
esmc600m,A,FULL,0.09162248211142465,-0.038906756742501436,0.026357862684461608,EXP-T280,EXP-T284,
esmc600m,A,INTERACTION_FULL_IMGT_REGION,-0.11937447536138768,,,EXP-T280,EXP-T284,primary
esmc600m,A,INTERACTION_FULL_IMGT_REGION,,-0.135398770556038,,EXP-T280,EXP-T284,shadow
esmc600m,A,INTERACTION_FULL_IMGT_REGION,,,-0.12738662295871306,EXP-T280,EXP-T284,mean
esmc600m,B1,IMGT,0.3054570798520686,0.18232451544867612,0.24389079765037236,EXP-T290,EXP-T285,
esmc600m,B1,REGION,0.21176025013864752,0.11545428523310886,0.1636072676858782,EXP-T295,EXP-T285,
esmc600m,B1,FULL,0.3310903855312013,0.37116302678614455,0.3511267061586727,EXP-T281,EXP-T285,
esmc600m,B1,INTERACTION_FULL_IMGT_REGION,-0.18612694445951483,,,EXP-T281,EXP-T285,primary
esmc600m,B1,INTERACTION_FULL_IMGT_REGION,,0.07338422610435957,,EXP-T281,EXP-T285,shadow
esmc600m,B1,INTERACTION_FULL_IMGT_REGION,,,-0.05637135917757785,EXP-T281,EXP-T285,mean
esmc600m,B2,IMGT,-0.03758833143446161,0.20919022736726056,0.08580094796639948,EXP-T291,EXP-T286,
esmc600m,B2,REGION,-0.10807826195234149,0.11604360886562004,0.003982673456639496,EXP-T296,EXP-T286,
esmc600m,B2,FULL,-0.12168010664574913,0.21337186554331833,0.04584587944878482,EXP-T282,EXP-T286,
esmc600m,B2,INTERACTION_FULL_IMGT_REGION,0.02398648674105397,,,EXP-T282,EXP-T286,primary
esmc600m,B2,INTERACTION_FULL_IMGT_REGION,,-0.11186197068956227,,EXP-T282,EXP-T286,shadow
