generator,outer_val_fold,feature,n_train,mean,sd,median,iqr,min,max,skewness,fraction_zero
ESMFold,2,strongly_exposed_aromatic_SASA,129,158.06134365876187,150.6029334125882,148.5109512831941,270.0932259149481,0.0,587.8387826508181,0.693523509058107,0.3643410852713178
ESMFold,2,CDR_exposed_aromatic_count,129,4.263565891472868,1.454846910324251,4.0,2.0,1.0,10.0,0.4877456573713415,0.0
ESMFold,2,CDR_aromatic_SASA,129,428.63204937949865,162.00677016076625,413.2987434893541,187.70631574258215,117.96785971742833,886.684254088909,0.45876563324915964,0.0
ESMFold,2,CDR_aromatic_fraction,129,0.7110442902181133,0.14031322369753235,0.7119066518957412,0.13677635074223982,0.28869109179363595,1.0,-0.43088238207652063,0.0
ESMFold,2,aromatic_patch_count,129,4.674418604651163,1.3874453167388936,5.0,1.0,2.0,8.0,-0.066748181119586,0.0
ESMFold,2,largest_aromatic_patch_n_res,129,2.4573643410852712,1.1943520311165874,2.0,1.0,1.0,7.0,1.3020874879308846,0.0
ESMFold,2,largest_aromatic_patch_exposed_SASA,129,232.86641039590143,138.18152464545003,193.41608499225788,163.4474273600157,50.820765242143985,703.0142314549179,1.1260189520779853,0.0
ESMFold,2,max_local_aromatic_SASA,129,292.69867830290667,132.0317326504898,267.4567636609437,192.8492788456972,80.75108287764176,734.9360423726381,0.748006948949564,0.0
ESMFold,3,exposed_TYR_count,130,4.846153846153846,1.7994081867339624,5.0,2.75,0.0,10.0,-0.014859061477109936,0.007692307692307693
ESMFold,3,exposed_TRP_count,130,0.7384615384615385,0.7395824825675024,1.0,1.0,0.0,3.0,0.6867820373751337,0.4230769230769231
ESMFold,3,exposed_PHE_count,130,1.1692307692307693,0.9538461538461538,1.0,1.0,0.0,5.0,0.9867367661374237,0.23846153846153847
ESMFold,3,exposed_aromatic_total_count,130,6.753846153846154,1.8976160690619508,7.0,2.75,2.0,11.0,0.03785786991886236,0.0
ESMFold,3,aromatic_exposed_SASA_total,130,617.1094289509083,205.04434856229813,595.4231779360027,308.0992430859475,232.62699405209588,1098.9927086273888,0.34960942969780534,0.0
ESMFold,3,aromatic_exposed_SASA_fraction,130,0.0563505602116358,0.018211704239108298,0.05427250451111784,0.027382141315398442,0.02103689088081665,0.09980399048588524,0.2492463345555575,0.0
ESMFold,3,strongly_exposed_aromatic_count,130,0.9153846153846154,0.9117575199294652,1.0,1.0,0.0,4.0,0.7765090615366488,0.3923076923076923
ESMFold,3,strongly_exposed_aromatic_SASA,130,152.95359731847824,154.736915998824,145.97656565769014,239.14115553435272,0.0,657.8785802433042,0.824369371887524,0.3923076923076923
ESMFold,3,CDR_exposed_aromatic_count,130,4.315384615384615,1.5641887323889483,4.0,2.0,1.0,10.0,0.3135136518535526,0.0
ESMFold,3,CDR_aromatic_SASA,130,432.31402383657553,176.92060577497574,400.5394099710261,220.39381761298375,74.56482198701073,886.684254088909,0.42803791146628206,0.0
ESMFold,3,CDR_aromatic_fraction,130,0.6927790855355258,0.14283967659297417,0.7051497339000456,0.15985923540171365,0.2356631043238807,1.0,-0.6641618224927615,0.0
ESMFold,3,aromatic_patch_count,130,4.7,1.3567495092201916,5.0,2.0,2.0,8.0,0.11051215877076077,0.0
ESMFold,3,largest_aromatic_patch_n_res,130,2.546153846153846,1.2716527009038185,2.0,1.0,1.0,7.0,1.2096603779115245,0.0
ESMFold,3,largest_aromatic_patch_exposed_SASA,130,241.9797102572416,146.98574393864166,194.90410035263068,164.68888738734213,53.76280393037776,703.0142314549179,1.0870700059242,0.0
ESMFold,3,max_local_aromatic_SASA,130,299.60337631587197,141.78716773559964,256.31948469514657,208.38843491559086,98.25519519661293,792.5430498703956,0.988156985504996,0.0
ESMFold,4,exposed_TYR_count,130,4.653846153846154,1.748456631351197,5.0,3.0,0.0,9.0,-0.11930083536833531,0.007692307692307693
ESMFold,4,exposed_TRP_count,130,0.6692307692307692,0.6837505341127043,1.0,1.0,0.0,2.0,0.5297389100732572,0.45384615384615384
ESMFold,4,exposed_PHE_count,130,1.0538461538461539,0.8971025021747984,1.0,2.0,0.0,5.0,0.9171237188917113,0.2846153846153846
ESMFold,4,exposed_aromatic_total_count,130,6.376923076923077,1.8657454052361386,6.0,3.0,2.0,11.0,-0.03750927267247553,0.0
