id,generator,extraction_status,pdb_path,error
ADI-47111,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47111.pdb,
ADI-47112,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47112.pdb,
ADI-47113,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47113.pdb,
ADI-47114,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47114.pdb,
ADI-47116,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47116.pdb,
ADI-47118,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47118.pdb,
ADI-47117,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47117.pdb,
ADI-47119,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47119.pdb,
ADI-47120,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47120.pdb,
ADI-47122,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47122.pdb,
ADI-47121,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47121.pdb,
ADI-47123,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47123.pdb,
ADI-47125,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47125.pdb,
ADI-47124,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47124.pdb,
ADI-47126,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47126.pdb,
ADI-47127,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47127.pdb,
ADI-47129,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47129.pdb,
ADI-47132,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47132.pdb,
ADI-47130,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47130.pdb,
ADI-47131,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47131.pdb,
ADI-47133,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47133.pdb,
ADI-47134,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47134.pdb,
ADI-47135,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47135.pdb,
ADI-47137,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47137.pdb,
ADI-47139,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47139.pdb,
ADI-47140,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47140.pdb,
ADI-47141,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47141.pdb,
ADI-47143,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47143.pdb,
ADI-47145,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47145.pdb,
ADI-47146,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47146.pdb,
ADI-47148,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47148.pdb,
ADI-47147,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47147.pdb,
ADI-47149,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47149.pdb,
ADI-47151,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47151.pdb,
ADI-47152,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47152.pdb,
ADI-47153,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47153.pdb,
ADI-47155,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47155.pdb,
ADI-47154,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47154.pdb,
ADI-47156,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47156.pdb,
ADI-47158,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47158.pdb,
ADI-47159,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47159.pdb,
ADI-47160,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47160.pdb,
ADI-47161,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47161.pdb,
ADI-47163,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47163.pdb,
ADI-47162,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47162.pdb,
ADI-47165,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47165.pdb,
ADI-47173,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47173.pdb,
ADI-47166,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47166.pdb,
ADI-47174,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47174.pdb,
ADI-47175,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47175.pdb,
ADI-47176,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47176.pdb,
ADI-47177,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47177.pdb,
ADI-47179,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47179.pdb,
ADI-47178,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47178.pdb,
ADI-47180,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47180.pdb,
ADI-47181,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47181.pdb,
ADI-47182,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47182.pdb,
ADI-47183,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47183.pdb,
ADI-47186,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47186.pdb,
ADI-47184,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47184.pdb,
ADI-47188,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47188.pdb,
ADI-47187,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47187.pdb,
