experiment_id,target,plm,chain_representation,pooling,pca_dim,model,hyperparameters,n_features_before_pca,n_features_after_pca,Primary_MAE,Primary_fold_SD,Shadow_MAE,delta_vs_stage1_primary,delta_vs_stage1_shadow,status,notes,pearson,spearman,hic_tail_mae,fold_maes,classical_family,delta_vs_plm_only_primary
HIC__esm1b__H__PCA16__SVR,HIC,esm1b,H,whole_chain_mean,16,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",1280,16,0.5799823864601347,0.04428032326264963,,0.10678238646013466,,FIXED_SCREEN,fixed pipeline,0.1947001315141586,0.3158169582228882,,,,
HIC__esm1b__H__PCA32__Ridge,HIC,esm1b,H,whole_chain_mean,32,Ridge,"{""alpha"": 10.0}",1280,32,0.5541324447256145,0.10331827154243041,,0.0809324447256145,,FIXED_SCREEN,fixed pipeline,0.4348680152059153,0.45539470794765113,,,,
HIC__esm1b__H__PCA32__SVR,HIC,esm1b,H,whole_chain_mean,32,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",1280,32,0.5900770030638334,0.03933861997875168,,0.11687700306383336,,FIXED_SCREEN,fixed pipeline,0.2168794751974235,0.26388177343915753,,,,
HIC__esm1b__H__PCA64__Ridge,HIC,esm1b,H,whole_chain_mean,64,Ridge,"{""alpha"": 10.0}",1280,64,0.5601334837378877,0.09991483021864579,,0.08693348373788773,,FIXED_SCREEN,fixed pipeline,0.46560934648548197,0.5367383781202234,,,,
HIC__esm1b__H__PCA64__SVR,HIC,esm1b,H,whole_chain_mean,64,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",1280,64,0.5946851038103071,0.03866965466302604,,0.12148510381030714,,FIXED_SCREEN,fixed pipeline,0.21385740216455176,0.24784450226416077,,,,
HIC__esm1b__L__PCA16__Ridge,HIC,esm1b,L,whole_chain_mean,16,Ridge,"{""alpha"": 10.0}",1280,16,0.6477731790499253,0.08953325814813373,,0.17457317904992525,,FIXED_SCREEN,fixed pipeline,-0.21024385487592132,-0.1587990465770274,,,,
HIC__esm1b__L__PCA16__SVR,HIC,esm1b,L,whole_chain_mean,16,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",1280,16,0.6384518499603391,0.04566245126224573,,0.1652518499603391,,FIXED_SCREEN,fixed pipeline,-0.11564982844139242,-0.022680537514934276,,,,
HIC__esm1b__L__PCA32__Ridge,HIC,esm1b,L,whole_chain_mean,32,Ridge,"{""alpha"": 10.0}",1280,32,0.659990517536799,0.07590547695619163,,0.18679051753679904,,FIXED_SCREEN,fixed pipeline,-0.17320417023489176,-0.12935809993349726,,,,
HIC__esm1b__L__PCA32__SVR,HIC,esm1b,L,whole_chain_mean,32,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",1280,32,0.629556006089195,0.04422823614746519,,0.15635600608919503,,FIXED_SCREEN,fixed pipeline,-0.09946906460813862,0.022413790682929136,,,,
HIC__esm1b__L__PCA64__Ridge,HIC,esm1b,L,whole_chain_mean,64,Ridge,"{""alpha"": 10.0}",1280,64,0.7453017848708413,0.08771101978633418,,0.2721017848708413,,FIXED_SCREEN,fixed pipeline,-0.14439884929757316,-0.09743033890905153,,,,
HIC__esm1b__L__PCA64__SVR,HIC,esm1b,L,whole_chain_mean,64,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",1280,64,0.6252618117198978,0.038310610785089384,,0.1520618117198978,,FIXED_SCREEN,fixed pipeline,-0.09559882163091073,0.017876271821042785,,,,
HIC__esm1b__HL__PCA16__Ridge,HIC,esm1b,HL,whole_chain_mean,16,Ridge,"{""alpha"": 10.0}",2560,16,0.5992836257096492,0.127574453046099,,0.1260836257096492,,FIXED_SCREEN,fixed pipeline,0.1595440602229973,0.19747169178217452,,,,
HIC__esm1b__HL__PCA16__SVR,HIC,esm1b,HL,whole_chain_mean,16,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",2560,16,0.5998101152617978,0.03467269542806756,,0.12661011526179783,,FIXED_SCREEN,fixed pipeline,0.04550330056924117,0.228101002619082,,,,
HIC__esm1b__HL__PCA32__Ridge,HIC,esm1b,HL,whole_chain_mean,32,Ridge,"{""alpha"": 10.0}",2560,32,0.6186721383658322,0.15310996170344512,,0.14547213836583223,,FIXED_SCREEN,fixed pipeline,0.2419356082215751,0.3194314483645028,,,,
HIC__esm1b__HL__PCA32__SVR,HIC,esm1b,HL,whole_chain_mean,32,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",2560,32,0.5996291935525807,0.03671917536095162,,0.1264291935525807,,FIXED_SCREEN,fixed pipeline,0.01646033173257664,0.06158041150290058,,,,
HIC__esm1b__HL__PCA64__Ridge,HIC,esm1b,HL,whole_chain_mean,64,Ridge,"{""alpha"": 10.0}",2560,64,0.5828542867848368,0.0924461581009758,,0.10965428678483674,,FIXED_SCREEN,fixed pipeline,0.37879285432397003,0.42885269248369007,,,,
HIC__esm1b__HL__PCA64__SVR,HIC,esm1b,HL,whole_chain_mean,64,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",2560,64,0.5993388866558679,0.037616511289793576,,0.12613888665586787,,FIXED_SCREEN,fixed pipeline,0.012272915058690442,0.06880798042723028,,,,
HIC__esm2__H__PCA16__Ridge,HIC,esm2,H,whole_chain_mean,16,Ridge,"{""alpha"": 10.0}",1280,16,0.5247731225952957,0.08643750714543195,,0.05157312259529573,,FIXED_SCREEN,fixed pipeline,0.41696516823963037,0.43606473646012534,,,,
HIC__esm2__H__PCA16__SVR,HIC,esm2,H,whole_chain_mean,16,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",1280,16,0.5491192798003283,0.03205646313284302,,0.07591927980032825,,FIXED_SCREEN,fixed pipeline,0.4762445509829902,0.3725691109306058,,,,
HIC__esm2__H__PCA32__Ridge,HIC,esm2,H,whole_chain_mean,32,Ridge,"{""alpha"": 10.0}",1280,32,0.5075575440204505,0.10809174159800461,,0.03435754402045049,,FIXED_SCREEN,fixed pipeline,0.5118656723458175,0.558490241479288,,,,
HIC__esm2__H__PCA32__SVR,HIC,esm2,H,whole_chain_mean,32,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",1280,32,0.5703210493700196,0.029766183608055923,,0.09712104937001959,,FIXED_SCREEN,fixed pipeline,0.4367047283562376,0.32677616007749083,,,,
HIC__esm2__H__PCA64__Ridge,HIC,esm2,H,whole_chain_mean,64,Ridge,"{""alpha"": 10.0}",1280,64,0.5554148327495112,0.06332651023038414,,0.08221483274951119,,FIXED_SCREEN,fixed pipeline,0.5034751280314483,0.5007092081338362,,,,
HIC__esm2__H__PCA64__SVR,HIC,esm2,H,whole_chain_mean,64,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",1280,64,0.583271988021993,0.03166250933118136,,0.11007198802199297,,FIXED_SCREEN,fixed pipeline,0.4004517736873771,0.2529917281706303,,,,
HIC__esm2__L__PCA16__Ridge,HIC,esm2,L,whole_chain_mean,16,Ridge,"{""alpha"": 10.0}",1280,16,0.6204268805489395,0.07342106903393714,,0.14722688054893945,,FIXED_SCREEN,fixed pipeline,-0.10339053645559591,-0.08463213640840285,,,,
HIC__esm2__L__PCA16__SVR,HIC,esm2,L,whole_chain_mean,16,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",1280,16,0.6090759419208029,0.030794417669363652,,0.13587594192080293,,FIXED_SCREEN,fixed pipeline,-0.05721529345518486,-0.0308579509786262,,,,
HIC__esm2__L__PCA32__Ridge,HIC,esm2,L,whole_chain_mean,32,Ridge,"{""alpha"": 10.0}",1280,32,0.6441955584771705,0.05513962254152433,,0.17099555847717046,,FIXED_SCREEN,fixed pipeline,-0.044767767814554445,-0.07538773561669038,,,,
HIC__esm2__L__PCA32__SVR,HIC,esm2,L,whole_chain_mean,32,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",1280,32,0.6035425634841622,0.03792079208451429,,0.13034256348416223,,FIXED_SCREEN,fixed pipeline,-0.05560746913271219,-0.011667704022150694,,,,
HIC__esm2__L__PCA64__Ridge,HIC,esm2,L,whole_chain_mean,64,Ridge,"{""alpha"": 10.0}",1280,64,0.6967852581045844,0.05930212182839605,,0.22358525810458435,,FIXED_SCREEN,fixed pipeline,-0.01601882638463619,0.03541664022400503,,,,
HIC__esm2__L__PCA64__SVR,HIC,esm2,L,whole_chain_mean,64,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",1280,64,0.6006376916176941,0.04152408227868634,,0.12743769161769408,,FIXED_SCREEN,fixed pipeline,-0.06401199213608663,-0.019523327656757055,,,,
HIC__esm2__HL__PCA16__Ridge,HIC,esm2,HL,whole_chain_mean,16,Ridge,"{""alpha"": 10.0}",2560,16,0.5692780842347578,0.08947607978509725,,0.09607808423475778,,FIXED_SCREEN,fixed pipeline,0.29113757658785877,0.30778773744364357,,,,
