experiment_code,effective_code,representation_raw,representation_display,representation_context,plm_family,paired_match_group,topology_legacy,topology_id,topology_display,annotation_id,annotation_display,primary_mae,shadow_mae,mean_ps,worst_ps,abs_ps,raw_dim,execution_status,reused_or_new,reuse_source
EXP-T223,EXP-T223,ablang2_unpaired,AbLang2 (paired H/L),PAIRED_NATIVE,ablang2,ablang2,B1,JOINT,Full Joint,REGION,CDR/FR Region,3.297617241188332,3.2527295807261525,3.275173410957242,3.297617241188332,0.0448876604621797,480,COMPLETE,new,
EXP-T224,EXP-T224,ablang2_unpaired,AbLang2 (paired H/L),PAIRED_NATIVE,ablang2,ablang2,B2,REG-SEP,"Joint Residues, Separate REGs",REGION,CDR/FR Region,3.160469596768603,3.378527864997769,3.2694987308831864,3.378527864997769,0.218058268229166,480,COMPLETE,new,
EXP-T225,EXP-T225,ablang2_unpaired,AbLang2 (paired H/L),PAIRED_NATIVE,ablang2,ablang2,C,XREG,Cross-REG Read,REGION,CDR/FR Region,2.9667591518825955,3.036761013078101,3.0017600824803483,3.036761013078101,0.0700018611955055,480,COMPLETE,new,
EXP-T226,EXP-T226,ablang2_unpaired,AbLang2 (paired H/L),PAIRED_NATIVE,ablang2,ablang2,D,FUSE,REG Fusion,REGION,CDR/FR Region,3.1685354915666,3.327362036999361,3.24794876428298,3.327362036999361,0.1588265454327611,480,COMPLETE,new,
EXP-T227,EXP-T227,ablang1,AbLang1,SEPARATE_CHAIN,ablang1,,A,SEP,Separate H/L,FULL,IMGT + Region,3.432775050033758,3.3185034386905623,3.3756392443621603,3.432775050033758,0.1142716113431956,768,COMPLETE,new,
EXP-T228,EXP-T228,ablang1,AbLang1,SEPARATE_CHAIN,ablang1,,B1,JOINT,Full Joint,FULL,IMGT + Region,3.527711420883368,3.233367496066623,3.3805394584749955,3.527711420883368,0.2943439248167445,768,COMPLETE,new,
EXP-T229,EXP-T229,ablang1,AbLang1,SEPARATE_CHAIN,ablang1,,B2,REG-SEP,"Joint Residues, Separate REGs",FULL,IMGT + Region,3.4567223772590543,3.398341120025258,3.4275317486421564,3.4567223772590543,0.0583812572337962,768,COMPLETE,new,
EXP-T157,EXP-T157,ablang1,AbLang1,SEPARATE_CHAIN,ablang1,,C,XREG,Cross-REG Read,FULL,IMGT + Region,3.4670958342375577,3.2599392172731,3.363517525755329,3.4670958342375577,0.2071566169644576,768,REUSE,reused,EXP-T157
EXP-T230,EXP-T230,ablang1,AbLang1,SEPARATE_CHAIN,ablang1,,D,FUSE,REG Fusion,FULL,IMGT + Region,3.672603677820277,3.4214357211266035,3.54701969947344,3.672603677820277,0.2511679566936733,768,COMPLETE,new,
EXP-T231,EXP-T231,ablang1,AbLang1,SEPARATE_CHAIN,ablang1,,A,SEP,Separate H/L,BASE,Base,3.4366926970305265,3.353419645332996,3.395056171181761,3.4366926970305265,0.0832730516975304,768,COMPLETE,new,
EXP-T232,EXP-T232,ablang1,AbLang1,SEPARATE_CHAIN,ablang1,,B1,JOINT,Full Joint,BASE,Base,3.306578318277994,3.288868209462107,3.2977232638700507,3.306578318277994,0.017710108815887,768,COMPLETE,new,
EXP-T233,EXP-T233,ablang1,AbLang1,SEPARATE_CHAIN,ablang1,,B2,REG-SEP,"Joint Residues, Separate REGs",BASE,Base,3.53172528302228,3.36476316569764,3.44824422435996,3.53172528302228,0.16696211732464,768,COMPLETE,new,
EXP-T234,EXP-T234,ablang1,AbLang1,SEPARATE_CHAIN,ablang1,,C,XREG,Cross-REG Read,BASE,Base,3.635695068924516,3.3670595192614896,3.5013772940930026,3.635695068924516,0.2686355496630264,768,COMPLETE,new,
EXP-T235,EXP-T235,ablang1,AbLang1,SEPARATE_CHAIN,ablang1,,D,FUSE,REG Fusion,BASE,Base,3.652762942843967,3.36608597084328,3.5094244568436235,3.652762942843967,0.286676972000687,768,COMPLETE,new,
EXP-T236,EXP-T236,ablang1,AbLang1,SEPARATE_CHAIN,ablang1,,A,SEP,Separate H/L,IMGT,IMGT Position,3.503537990428783,3.260058414788894,3.3817982026088385,3.503537990428783,0.2434795756398893,768,COMPLETE,new,
EXP-T237,EXP-T237,ablang1,AbLang1,SEPARATE_CHAIN,ablang1,,B1,JOINT,Full Joint,IMGT,IMGT Position,3.4415609807143976,3.3717567538037714,3.4066588672590843,3.4415609807143976,0.0698042269106262,768,COMPLETE,new,
EXP-T238,EXP-T238,ablang1,AbLang1,SEPARATE_CHAIN,ablang1,,B2,REG-SEP,"Joint Residues, Separate REGs",IMGT,IMGT Position,3.4554195875003013,3.252317970181689,3.353868778840995,3.4554195875003013,0.2031016173186124,768,COMPLETE,new,
