id,DELTA_GEOM__K_all_bb_mean,DELTA_GEOM__K_all_bb_median,DELTA_GEOM__K_all_bb_q90,DELTA_GEOM__K_all_bb_iqr,DELTA_GEOM__K_all_bb_frac_neg,DELTA_GEOM__K_FW_mean,DELTA_GEOM__K_FW_median,DELTA_GEOM__K_FW_q90,DELTA_GEOM__K_CDR_mean,DELTA_GEOM__K_CDR_median,DELTA_GEOM__K_CDR_q90,DELTA_GEOM__K_HCDR3_mean,DELTA_GEOM__K_HCDR3_median,DELTA_GEOM__K_HCDR3_q90,DELTA_GEOM__K_chi1_mean,DELTA_GEOM__K_chi1_median,DELTA_GEOM__K_chi1_q90
ADI-45411,-6.406721987403898,0.300549897767187,-14.711917495703844,-3.719304984868934,-0.025,-18.14100166648354,-1.1440932775004313,-38.20991033613524,-6.655927944302537,0.5009164962786468,-24.494816668025848,-2.025873283116283,-29.453889981184474,8.134883899565239,-2.898636791799108,-0.9497376769443164,-1.4698893666800608
ADI-45422,0.9392184305224518,-0.5510081459065148,6.797436854501257,-3.2434343134042507,0.0,-8.07990831409866,-2.679903255090764,-11.711427682994724,-0.00025045824813929585,-0.5009164962786485,9.923155791279996,-3.998788561098202,-1.8704221971044674,-1.8083085515659008,-0.659206109102703,-0.7934517301053763,-5.374633638471382
ADI-45425,1.1533602326815853,0.07513747444179764,-11.285648661157893,3.431277999508744,0.025,-1.9919399853153443,-1.1020162918130243,2.790104884272097,0.3193342663776413,0.9517413429294308,2.604765780648961,-13.599560856217671,-5.025194290667391,-15.563475539377478,0.08348608271310631,-0.6171291234152925,-1.963592665412298
ADI-45428,-4.151345462909298,0.6010997955343704,-8.295177178374402,-12.886076866768207,0.025,-6.5126240833254805,-1.051924642185158,-1.2172270859571341,-6.3894182690251,-1.3023828903244823,-15.68870466344724,-22.118081737841933,-9.6676883781779,-55.07576876583727,-0.9443945676506793,-0.6812464349389593,-0.47927690363940556
ADI-45429,-5.707943475095185,-0.17532077369752663,9.547468419071024,-5.697925145169613,0.0,-28.577064553477324,-1.4817109959922394,-22.315829909213733,2.582850683936776,0.050091649627866275,4.984119137972542,6.958080774857809,0.9898109966466038,3.6015896082434296,-0.5570191438618526,-1.1941849271282976,2.8299778373758464
ADI-45430,-1.7607214844194417,-2.1038492843703196,-4.918999993456325,0.6386685327552755,0.0,-6.768179620626007,-2.9554073280440214,1.6135522178127815,-0.034438009119160284,1.051924642185158,1.0519246421851705,-10.283203437327394,-3.907148670973452,-23.09725964340838,1.1527758301025983,-3.915163334913908,26.263252266488024
ADI-45433,0.03381186349881915,0.40073319702291776,-7.809288176984126,-1.9786201603006575,-0.025,-16.658103312870487,-4.783752539461085,-15.267934806573209,0.5867205455235549,0.35064154739505327,4.618450095689127,-0.28176552915675046,12.172270859571132,-4.473184311768321,-2.3122305468222404,-2.8051323791604252,-1.5011465560478499
ADI-45435,-2.0537576347424604,-0.3756873722089882,-18.55394702216111,1.5027494888359385,0.0,-17.17916536389078,-2.354307532509642,-27.455233161032638,-4.231478187966758,-0.7994627280607212,-15.187788167168549,-10.95033060476269,-23.81857939804969,-11.521079414408888,-2.7076206345515192,0.9777890007359193,-9.389178806246967
ADI-45438,-11.290657826120714,0.025045824813933137,-36.526830908638956,-0.1878436861044932,0.0,-26.069784829411823,-3.7819195469037883,-43.75705961592497,4.83384418908895,2.529628306207167,6.0109979553437825,-23.421052066602947,-5.735493882390514,-79.94627280607214,0.23442892025840578,-2.448479833810028,12.8763590867404
ADI-45439,-3.9722678154896798,0.5009164962786485,2.5947474507233323,-1.0394017297781915,-0.025,-8.053431299295351,-3.5565071235783954,-17.609018143581046,-9.24817081254453,0.4007331970229213,-23.993900171747214,-4.188914200130192,1.7782535617891995,-17.51204070990152,-5.504738349771477,-0.7253270866114825,-0.258072178882756
ADI-45440,-3.3674111462332093,0.0500916496278645,-0.0200366598511863,-0.2880269853602222,0.0,-14.133920154502501,-1.668051932607895,-68.52537669091889,-3.4827913680157394,-0.5259623210925799,-8.901286138871562,-7.845604622964316,-0.5259623210925817,-10.103485729940317,-0.9664348934869373,1.2182289189496718,-1.5171758839287648
ADI-45442,-9.45855574098156,0.17532077369752663,2.0337209748912812,-8.227553451376782,0.025,-31.98381976491254,-2.399390017174719,-12.402291714662212,-0.25985043244454786,1.1020162918130225,-9.69273420299183,-6.671428526992933,0.1502749488835935,-18.027984701068448,-0.16563638810280779,-3.0375576334337175,-5.881160399508346
ADI-45447,-2.5559264222617983,0.4257790218368491,-7.358463330333365,-10.782227582397901,0.0,-18.92891548643562,-10.494200597037663,-21.27392359695412,-0.3349879068863544,0.22541242332539113,1.402566189580213,-5.010667712275314,-22.54124233253914,-2.2340875734027605,-45.630153367676265,-0.0561026475832076,-1.3753163321826527
ADI-45448,-2.7299949047186303,-2.0287118099285237,-1.1871720961804044,-0.8265122188597616,0.0,-8.650510001417288,0.12522912406966036,-49.0397249856796,-3.826181085088855,-4.683569240205355,-10.378989802893557,-9.02901984542262,-2.404399182137503,-42.64302132820127,-5.640987636759279,-0.19235193457099875,-4.916194861077159
ADI-45450,-4.037386960005893,1.2272454158826864,-0.7964572290830603,-9.705257115398798,-0.025,-8.698284284010114,-2.153940933998184,-18.604038671788956,-3.5196062750192,1.577886963277738,-9.457303449740856,-19.195347826714258,-13.324378801012015,-42.327443935545695,-1.5167751507317426,-0.6211364553855248,0.24204285100184464
ADI-45451,2.460752287968859,0.3005498977671852,-8.725965365174034,4.5207713789147945,-0.025,-0.058925119379551916,-1.2021995910687515,-1.6810757615111527,-2.4010990263973184,-1.402566189580213,-21.774840093232783,1.816796303308422,-14.451440917638982,-2.9754439878951473,0.3032214524140002,-0.2765059059458128,2.4035977157434587
ADI-45452,0.7375995407703115,1.5528411384638083,6.446795307106214,-3.4813696491365995,0.0,-7.464928122452385,-2.399390017174726,-4.2978635380707715,1.4225889350842351,-0.323592056596004,-7.072940927454489,-7.600712113672536,-20.412347223354885,-4.959073313158598,2.433786283252523,0.4367991847549799,-1.3176107518113547
