id,generator,extraction_status,error,delta_E_total,delta_E_per_residue,CA_RMSD_pre_post,all_heavy_RMSD_pre_post,VH_CA_RMSD,VL_CA_RMSD,interface_CA_RMSD,initial_force_RMS,initial_force_q95,initial_force_max,final_force_RMS,final_force_q95,clash_relief_fraction,severe_clash_count_before,severe_clash_count_after,E_before,E_after,n_residues,min_HL_atom_distance_before,GENERATOR_GEOMETRY_ARTIFACT_DOMINATED_flag
ADI-45448,esmfold,SUCCESS,,-40367.45088742198,-174.7508696425194,0.6826340176299681,0.9179345403661668,0.7318181089346111,0.6261570294885664,0.5990051251573388,22200.767897328322,3336.25265780966,938325.0889829305,15.640900842662896,29.32340053536158,0.014308426073131956,1887,1860,17872.42510369835,-22495.02578372363,231,2.6976576876987197,0.0
ADI-45450,esmfold,SUCCESS,,-47849.18101382504,-209.86482900800453,0.618704228670993,0.8642775695787382,0.6042791092868892,0.6340781545224127,0.6424760377017792,14886.028714968628,3659.0002174950596,548625.7789573942,9.307431510207342,17.91817225999478,0.02564102564102564,1872,1824,21161.7988977099,-26687.382116115135,228,2.617894955875808,0.0
ADI-45451,esmfold,SUCCESS,,-62568.12890513413,-261.79133433110513,0.7098329325288345,0.9716055235675808,0.7842464493891294,0.6163542047579891,0.7659605241682022,50980.12054829161,3385.840632681884,1590357.1833168596,9.63016030754582,18.971101866215044,0.017391304347826087,1955,1921,35861.937620111006,-26706.191285023127,239,1.991319160757512,0.0
ADI-45452,esmfold,SUCCESS,,-50112.37489286314,-220.75936076151163,0.647900572290745,0.9266508520411461,0.6492176530617684,0.6464202799531044,0.5775288159098984,32611.024847295663,3457.7087105333,1322299.3625020701,29.91562763578149,37.25357915603183,0.01353546291283162,1847,1822,24549.43905232973,-25562.935840533406,227,2.044736902391113,0.0
ADI-45453,esmfold,SUCCESS,,-125356.23269653945,-552.2300999847553,0.6947144920844393,0.9662406331036342,0.7569755144260363,0.617465241054241,0.6667244559810146,140050.96547312796,3572.575329050062,5651163.77598836,18.52722705549972,29.394477755296965,0.02785216925549009,1867,1815,98585.55862880457,-26770.674067734875,227,1.3107375786174738,0.0
ADI-45454,esmfold,SUCCESS,,-36037.13173634524,-153.34949675040528,0.6134055103801693,0.8547562106642098,0.6544211465941675,0.5657949745249858,0.5120715273660092,11987.376872397057,3259.9333258540423,537215.6276821726,9.844687873221652,17.19565283261884,0.0158144438587243,1897,1867,10807.949920535975,-25229.18181580926,235,2.1325264359439964,0.0
ADI-45455,esmfold,SUCCESS,,-43278.67536827506,-186.54601451842697,0.6679304553285441,0.8951935401268738,0.6793035245332663,0.6548594664248765,0.6230681280887757,23077.85015471431,3358.325125335862,918995.7493120037,9.610083329921753,18.224136557179968,0.022568511552928532,1861,1819,16904.512595723852,-26374.162772551204,232,1.7054626938165496,0.0
ADI-45456,esmfold,SUCCESS,,-46252.56714455619,-201.0981180198095,0.8002431179064665,1.0464307108839312,0.86961829525651,0.7121932395042012,0.8462095150834107,35535.75316418792,3452.0492176657385,1489393.2521335324,31.757109361340714,53.06831408414304,0.024274406332453827,1895,1849,20440.68563459729,-25811.881509958897,230,2.8327899675055335,0.0
ADI-45459,esmfold,SUCCESS,,-57554.37498539991,-252.43146923421014,0.719570613864804,0.9545663351464936,0.7147313345189684,0.7247259173264083,0.7590105424399815,27188.6617765483,3427.9184034754235,946579.1170616859,9.39029238784209,17.037413943791798,0.02207862143241788,1857,1816,31694.46288306136,-25859.912102338552,228,2.3533418791157406,0.0
ADI-45460,esmfold,SUCCESS,,-59805.45227433575,-256.675760834059,0.6467423410762023,0.9430845098920775,0.6475631501528334,0.6458389871888365,0.5470030010666014,45901.00104209923,3373.649557148065,1867071.521983707,9.904742990220972,17.277529157913676,0.023031601499732192,1867,1824,34124.76344006834,-25680.688834267417,233,2.074886743897121,0.0
