antibody_id,viscosity_cP,n_values_seen,conflict,label_source,condition_note
mAb243,9.493607227,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb251,14.6145742,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb252,31.9601284,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb253,15.50691801,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb254,16.70867691,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb255,12.13048386,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb256,19.4482239,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb257,18.41871996,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb258,14.26712624,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb259,29.70743081,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb260,28.8787149,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb261,186.1192516,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
