experiment_id,target,structure_source,feature_family,model,hyperparameters,n_features,Primary_MAE,Primary_fold_SD,Shadow_MAE,delta_vs_plm_only,delta_vs_sequence_incumbent,status,notes
TmApp__FUSION_OVERALL__ESMFold__STRUCT_SURFACE_ALL__RidgeOpt,TmApp,ESMFold,STRUCT_SURFACE_ALL,OVERALL+RidgeOpt,"{""pca_dim"": 48, ""alpha"": 99.40106410438038}",297,3.1724933012053826,0.15497437215823656,,0.3090933012053827,0.3968933012053828,FUSION_OVERALL_STRUCT,overall sequence incumbent + structure
TmApp__FUSION_OVERALL__ESMFold__STRUCT_SURFACE_ALL__SVROpt,TmApp,ESMFold,STRUCT_SURFACE_ALL,OVERALL+SVROpt,"{""pca_dim"": 32, ""C"": 12.630674126983134, ""gamma"": 0.00045475412407956534, ""epsilon"": 0.0010016633546460383}",281,2.797564851562592,0.19589363148142186,,-0.06583514843740801,0.02196485156259209,FUSION_OVERALL_STRUCT,overall sequence incumbent + structure
TmApp__FUSION_PLM__ESMFold__STRUCT_ALL__RidgeOpt,TmApp,ESMFold,STRUCT_ALL,PLM+RidgeOpt,"{""pca_dim"": 48, ""alpha"": 99.40106410438038}",266,3.28057277738656,0.18888415827681057,,0.4171727773865599,0.50497277738656,FUSION_PLM_STRUCT,PLM + structure
TmApp__FUSION_PLM__ESMFold__STRUCT_ALL__SVROpt,TmApp,ESMFold,STRUCT_ALL,PLM+SVROpt,"{""pca_dim"": 48, ""C"": 19.029028753306783, ""gamma"": 0.0001343779538375107, ""epsilon"": 0.003911769114888926}",266,2.8779650372738907,0.29949953761110887,2.92410301238595,0.014565037273890802,0.1023650372738909,STRUCT_NO_GAIN,PLM + structure
TmApp__FUSION_OVERALL__ESMFold__STRUCT_ALL__RidgeOpt,TmApp,ESMFold,STRUCT_ALL,OVERALL+RidgeOpt,"{""pca_dim"": 48, ""alpha"": 99.40106410438038}",344,3.1905261569572483,0.14724237533116585,,0.32712615695724834,0.41492615695724844,FUSION_OVERALL_STRUCT,overall sequence incumbent + structure
TmApp__FUSION_OVERALL__ESMFold__STRUCT_ALL__SVROpt,TmApp,ESMFold,STRUCT_ALL,OVERALL+SVROpt,"{""pca_dim"": 48, ""C"": 6.278833888783371, ""gamma"": 0.00040393976245155846, ""epsilon"": 0.001755110874226925}",344,2.839218235933351,0.29099083424416305,,-0.02418176406664907,0.06361823593335103,FUSION_OVERALL_STRUCT,overall sequence incumbent + structure
HIC__FUSION_PLM__ESMFold__STRUCT_SASA__RidgeOpt,HIC,ESMFold,STRUCT_SASA,PLM+RidgeOpt,"{""pca_dim"": 32, ""alpha"": 32.99557544633794}",52,0.48641381232832615,0.10373014530170152,,0.03121381232832615,0.037913812328326135,FUSION_PLM_STRUCT,PLM + structure
HIC__FUSION_PLM__ESMFold__STRUCT_SASA__SVROpt,HIC,ESMFold,STRUCT_SASA,PLM+SVROpt,"{""pca_dim"": 64, ""C"": 0.9198865870534925, ""gamma"": 0.000367534889058166, ""epsilon"": 0.001081113153223683}",84,0.45458090559157255,0.031027584068207728,,-0.0006190944084274452,0.0060809055915725385,FUSION_PLM_STRUCT,PLM + structure
HIC__FUSION_OVERALL__ESMFold__STRUCT_SASA__RidgeOpt,HIC,ESMFold,STRUCT_SASA,OVERALL+RidgeOpt,"{""pca_dim"": 32, ""alpha"": 98.48051117965663}",167,0.5212819849234641,0.03993386545728724,,0.06608198492346412,0.0727819849234641,FUSION_OVERALL_STRUCT,overall sequence incumbent + structure
HIC__FUSION_OVERALL__ESMFold__STRUCT_SASA__SVROpt,HIC,ESMFold,STRUCT_SASA,OVERALL+SVROpt,"{""pca_dim"": 32, ""C"": 2.035237472719914, ""gamma"": 0.0002648242734354266, ""epsilon"": 0.00491191970358814}",167,0.45020882711588184,0.042807539357330476,,-0.004991172884118156,0.001708827115881828,FUSION_OVERALL_STRUCT,overall sequence incumbent + structure
HIC__FUSION_PLM__ESMFold__STRUCT_RASA__RidgeOpt,HIC,ESMFold,STRUCT_RASA,PLM+RidgeOpt,"{""pca_dim"": null, ""alpha"": 99.08884095835143}",1344,0.5378240784455868,0.04044543243585436,,0.08262407844558678,0.08932407844558676,FUSION_PLM_STRUCT,PLM + structure
HIC__FUSION_PLM__ESMFold__STRUCT_RASA__SVROpt,HIC,ESMFold,STRUCT_RASA,PLM+SVROpt,"{""pca_dim"": 64, ""C"": 0.9198865870534925, ""gamma"": 0.000367534889058166, ""epsilon"": 0.001081113153223683}",128,0.45825925682396373,0.03030848908451161,,0.0030592568239637408,0.009759256823963725,FUSION_PLM_STRUCT,PLM + structure
HIC__FUSION_OVERALL__ESMFold__STRUCT_RASA__RidgeOpt,HIC,ESMFold,STRUCT_RASA,OVERALL+RidgeOpt,"{""pca_dim"": 32, ""alpha"": 78.7582456105396}",211,0.5472980567206905,0.050463649836805076,,0.09209805672069055,0.09879805672069053,FUSION_OVERALL_STRUCT,overall sequence incumbent + structure
HIC__FUSION_OVERALL__ESMFold__STRUCT_RASA__SVROpt,HIC,ESMFold,STRUCT_RASA,OVERALL+SVROpt,"{""pca_dim"": null, ""C"": 0.964093679980662, ""gamma"": 0.0003974557671677831, ""epsilon"": 0.0069111830248350745}",1459,0.4545031423669427,0.028346367347913924,,-0.0006968576330572684,0.006003142366942715,FUSION_OVERALL_STRUCT,overall sequence incumbent + structure
HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt,HIC,ESMFold,STRUCT_SURFACE_CHEM,PLM+RidgeOpt,"{""pca_dim"": 8, ""alpha"": 75.7947995334801}",90,0.5052325827379771,0.08763158407624239,,0.050032582737977116,0.0567325827379771,FUSION_PLM_STRUCT,PLM + structure
HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__SVROpt,HIC,ESMFold,STRUCT_SURFACE_CHEM,PLM+SVROpt,"{""pca_dim"": 64, ""C"": 0.9198865870534925, ""gamma"": 0.000367534889058166, ""epsilon"": 0.001081113153223683}",146,0.44379779434200317,0.030276458539788186,0.4421734324711952,-0.011402205657996822,-0.0047022056579968385,STRUCT_SHADOW_CONFIRMED,PLM + structure
HIC__FUSION_OVERALL__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt,HIC,ESMFold,STRUCT_SURFACE_CHEM,OVERALL+RidgeOpt,"{""pca_dim"": 32, ""alpha"": 99.35334257160925}",229,0.5193608482942581,0.05794204821740957,,0.06416084829425811,0.0708608482942581,FUSION_OVERALL_STRUCT,overall sequence incumbent + structure
HIC__FUSION_OVERALL__ESMFold__STRUCT_SURFACE_CHEM__SVROpt,HIC,ESMFold,STRUCT_SURFACE_CHEM,OVERALL+SVROpt,"{""pca_dim"": 64, ""C"": 0.9198865870534925, ""gamma"": 0.000367534889058166, ""epsilon"": 0.001081113153223683}",261,0.4438110499409789,0.031130179509057776,0.43930950560326193,-0.011388950059021075,-0.004688950059021091,STRUCT_SHADOW_CONFIRMED,overall sequence incumbent + structure
HIC__FUSION_PLM__ESMFold__STRUCT_PATCH__RidgeOpt,HIC,ESMFold,STRUCT_PATCH,PLM+RidgeOpt,"{""pca_dim"": 32, ""alpha"": 99.40101471726615}",37,0.507772939327201,0.10275802225652507,,0.05257293932720103,0.05927293932720101,FUSION_PLM_STRUCT,PLM + structure
