id,S3_hydro_n,S3_hydro_n_edges,S3_hydro_density,S3_hydro_mean_deg,S3_hydro_max_deg,S3_hydro_clustering,S3_hydro_largest_n,S3_hydro_largest_sasa,S3_aro_in_largest_hydro,S3_largest_hydro_heavy_frac,S3_aromatic_n,S3_aromatic_n_edges,S3_aromatic_density,S3_aromatic_mean_deg,S3_aromatic_max_deg,S3_aromatic_clustering,S3_aromatic_largest_n,S3_aromatic_largest_sasa,S3_charged_n,S3_charged_n_edges,S3_charged_density,S3_charged_mean_deg,S3_charged_max_deg,S3_charged_clustering,S3_charged_largest_n,S3_charged_largest_sasa,S3_exposed_n,S3_exposed_n_edges,S3_exposed_density,S3_exposed_mean_deg,S3_exposed_max_deg,S3_exposed_clustering,S3_exposed_largest_n,S3_exposed_largest_sasa
ADI-47233,21,6,0.02857142857142857,0.5714285714285714,2.0,0.0,3,1.3599999999999999,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0.6,21,8,0.0380952380952381,0.7619047619047619,2.0,0.2857142857142857,3,1.44,118,182,0.026365348399246705,3.0847457627118646,6.0,0.547457627118644,31,13.639999999999999
ADI-47234,31,8,0.017204301075268817,0.5161290322580645,1.0,0.0,2,0.56,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1,0.52,21,7,0.03333333333333333,0.6666666666666666,2.0,0.14285714285714285,3,1.52,120,179,0.025070028011204483,2.9833333333333334,6.0,0.5055555555555555,32,14.4
ADI-47235,17,3,0.022058823529411766,0.35294117647058826,1.0,0.0,2,0.96,0.0,1.0,5.0,1.0,0.1,0.4,1.0,0.0,2,1.04,16,6,0.05,0.75,1.0,0.0,2,0.88,121,176,0.024242424242424242,2.909090909090909,8.0,0.5070838252656434,32,15.719999999999999
ADI-47236,23,7,0.02766798418972332,0.6086956521739131,2.0,0.0,3,1.3599999999999999,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0.48,29,9,0.022167487684729065,0.6206896551724138,2.0,0.0,3,1.48,116,158,0.02368815592203898,2.7241379310344827,6.0,0.5077586206896552,31,14.2
ADI-47237,24,9,0.03260869565217391,0.75,2.0,0.125,3,1.2799999999999998,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0.43999999999999995,18,5,0.032679738562091505,0.5555555555555556,1.0,0.0,2,0.88,124,177,0.023210070810385522,2.8548387096774195,6.0,0.513978494623656,35,16.119999999999997
ADI-47238,27,6,0.017094017094017096,0.4444444444444444,1.0,0.0,2,0.56,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1,0.52,21,8,0.0380952380952381,0.7619047619047619,2.0,0.14285714285714285,3,1.52,124,179,0.023472331497508523,2.8870967741935485,6.0,0.4986559139784945,30,13.4
ADI-47239,30,9,0.020689655172413793,0.6,2.0,0.0,3,1.0,2.0,1.0,8.0,1.0,0.03571428571428571,0.25,1.0,0.0,2,1.04,32,13,0.02620967741935484,0.8125,2.0,0.1875,3,1.52,127,190,0.023747031621047368,2.9921259842519685,5.0,0.5267716535433071,31,14.16
ADI-47240,30,12,0.027586206896551724,0.8,3.0,0.07777777777777778,6,2.6,5.0,1.0,8.0,5.0,0.17857142857142858,1.25,3.0,0.29166666666666663,5,2.28,28,10,0.026455026455026454,0.7142857142857143,2.0,0.0,4,2.04,123,188,0.02505664400906304,3.0569105691056913,6.0,0.5219512195121951,31,13.68
ADI-47241,27,7,0.019943019943019943,0.5185185185185185,1.0,0.0,2,0.8,0.0,1.0,7.0,1.0,0.047619047619047616,0.2857142857142857,1.0,0.0,2,0.64,31,12,0.025806451612903226,0.7741935483870968,2.0,0.1935483870967742,3,1.56,123,180,0.023990403838464614,2.926829268292683,6.0,0.5289972899728999,31,14.280000000000001
ADI-47243,23,4,0.015810276679841896,0.34782608695652173,1.0,0.0,2,0.64,0.0,0.0,6.0,1.0,0.06666666666666667,0.3333333333333333,1.0,0.0,2,0.72,26,12,0.036923076923076927,0.9230769230769231,3.0,0.20512820512820512,5,2.2399999999999998,118,170,0.024626973779516153,2.8813559322033897,6.0,0.5432203389830508,31,13.64
